"","Region name","Region classification","Measures","Active case rate (per 100,000 population)","Active cases","Population"
"1","Athabasca County","Open","Gathering Restrictions          Public Health Orders","0","0","13196"
"2","Beaver County","Open","Gathering Restrictions          Public Health Orders","19.6","2","10191"
"3","Big Lakes County","Open","Gathering Restrictions          Public Health Orders","0","0","12234"
"4","Birch Hills County","Open","Gathering Restrictions          Public Health Orders","0","0","1479"
"5","Brazeau County","Open","Gathering Restrictions          Public Health Orders","5.9","1","16839"
"6","Calgary - Centre","Open","Gathering Restrictions          Public Health Orders","34.7","23","66198"
"7","Calgary - Centre North","Open","Gathering Restrictions          Public Health Orders","24.6","11","44663"
"8","Calgary - Centre West","Open","Gathering Restrictions          Public Health Orders","12.3","8","65260"
"9","Calgary - East","Open","Gathering Restrictions          Public Health Orders","23.5","17","72430"
"10","Calgary - Elbow","Open","Gathering Restrictions          Public Health Orders","41.6","17","40835"
"11","Calgary - Fish Creek","Open","Gathering Restrictions          Public Health Orders","33.8","38","112298"
"12","Calgary - Lower Ne","Watch","Gathering Restrictions          Public Health Orders","93.5","90","96301"
"13","Calgary - Lower Nw","Open","Gathering Restrictions          Public Health Orders","22.4","14","62572"
"14","Calgary - North","Open","Gathering Restrictions          Public Health Orders","44.6","51","114470"
"15","Calgary - Nosehill","Open","Gathering Restrictions          Public Health Orders","29.7","23","77497"
"16","Calgary - Se","Open","Gathering Restrictions          Public Health Orders","23.7","31","130916"
"17","Calgary - Sw","Open","Gathering Restrictions          Public Health Orders","20.9","24","114710"
"18","Calgary - Upper Ne","Watch","Gathering Restrictions          Public Health Orders","113.1","130","114978"
"19","Calgary - Upper Nw","Open","Gathering Restrictions          Public Health Orders","17.2","21","121916"
"20","Calgary - West","Open","Gathering Restrictions          Public Health Orders","37.1","34","91700"
"21","Calgary - West Bow","Open","Gathering Restrictions          Public Health Orders","23.8","5","21039"
"22","Camrose County","Open","Gathering Restrictions          Public Health Orders","0","0","8629"
"23","Cardston County","Open","Gathering Restrictions          Public Health Orders The Blood Tribe, situated in Cardston County, has chosen to maintain maximum gathering limits of 15 people indoors and 50 outdoors within their community at this time.","12.2","2","16459"
"24","City Of Airdrie","Open","Gathering Restrictions          Public Health Orders","28.6","20","70009"
"25","City Of Beaumont","Watch","Gathering Restrictions          Public Health Orders","59.2","11","18586"
"26","City Of Brooks","Open","Gathering Restrictions          Public Health Orders","15.5","3","19297"
"27","City Of Calgary","Open","Gathering Restrictions          Public Health Orders","39.8","537","1347732"
"28","City Of Camrose","Open","Gathering Restrictions          Public Health Orders","0","0","21543"
"29","City Of Chestermere","Open","Gathering Restrictions          Public Health Orders","28.7","6","20905"
"30","City Of Cold Lake","Open","Gathering Restrictions          Public Health Orders","5.1","1","19763"
"31","City Of Edmonton","Watch","Gathering Restrictions          Public Health Orders","87.5","894","1021628"
"32","City Of Fort Saskatchewan","Open","Gathering Restrictions          Public Health Orders","15","4","26738"
"33","City Of Grande Prairie","Open","Gathering Restrictions          Public Health Orders","20.4","15","73697"
"34","City Of Lacombe","Open","Gathering Restrictions          Public Health Orders","10.7","2","18640"
"35","City Of Leduc","Open","Gathering Restrictions          Public Health Orders","24.2","8","33017"
"36","City Of Lethbridge","Open","Gathering Restrictions          Public Health Orders","12.1","12","98987"
"37","City Of Lloydminster","Open","Gathering Restrictions          Public Health Orders","0","0","22277"
"38","City Of Medicine Hat","Open","Gathering Restrictions          Public Health Orders","2.9","2","68057"
"39","City Of Red Deer","Open","Gathering Restrictions          Public Health Orders","3.8","4","105939"
"40","City Of Spruce Grove","Open","Gathering Restrictions          Public Health Orders","2.7","1","37076"
"41","City Of St. Albert","Open","Gathering Restrictions          Public Health Orders","16","11","68923"
"42","City Of Wetaskiwin","Open","Gathering Restrictions          Public Health Orders","0","0","16799"
"43","Clear Hills County","Open","Gathering Restrictions          Public Health Orders","66.7","2","2998"
"44","Clearwater County","Open","Gathering Restrictions          Public Health Orders","0","0","20304"
"45","County Of Barrhead No. 11","Open","Gathering Restrictions          Public Health Orders","0","0","10116"
"46","County Of Forty Mile No. 8","Open","Gathering Restrictions          Public Health Orders","77.6","5","6443"
"47","County Of Grande Prairie No. 1","Open","Gathering Restrictions          Public Health Orders","12.8","4","31319"
"48","County Of Minburn No. 27","Open","Gathering Restrictions          Public Health Orders","0","0","10380"
"49","County Of Newell","Open","Gathering Restrictions          Public Health Orders","12.4","1","8093"
"50","County Of Northern Lights","Open","Gathering Restrictions          Public Health Orders","27","1","3702"
"51","County Of Paintearth No. 18","Open","Gathering Restrictions          Public Health Orders","25.3","1","3947"
"52","County Of St. Paul No. 19","Open","Gathering Restrictions          Public Health Orders","6.1","1","16493"
"53","County Of Stettler No. 6","Open","Gathering Restrictions          Public Health Orders","16.1","2","12449"
"54","County Of Two Hills No. 21","Open","Gathering Restrictions          Public Health Orders","0","0","5596"
"55","County Of Vermilion River","Open","Gathering Restrictions          Public Health Orders","0","0","12907"
"56","County Of Warner No. 5","Open","Gathering Restrictions          Public Health Orders","9.1","1","10994"
"57","County Of Wetaskiwin No. 10","Open","Gathering Restrictions          Public Health Orders","9.8","1","10181"
"58","Cypress County","Open","Gathering Restrictions          Public Health Orders","17.8","2","11218"
"59","Edmonton - Abbottsfield","Watch","Gathering Restrictions          Public Health Orders","68.8","10","14540"
"60","Edmonton - Bonnie Doon","Open","Gathering Restrictions          Public Health Orders","41.4","40","96574"
"61","Edmonton - Castle Downs","Watch","Gathering Restrictions          Public Health Orders","97.8","69","70526"
"62","Edmonton - Duggan","Open","Gathering Restrictions          Public Health Orders","32.2","13","40428"
"63","Edmonton - Eastwood","Watch","Gathering Restrictions          Public Health Orders","100.6","73","72600"
"64","Edmonton - Jasper Place","Watch","Gathering Restrictions          Public Health Orders","87.1","41","47069"
"65","Edmonton - Mill Woods South & East","Watch","Gathering Restrictions          Public Health Orders","91.6","76","82983"
"66","Edmonton - Mill Woods West","Watch","Gathering Restrictions          Public Health Orders","129.1","66","51122"
"67","Edmonton - Ne","Watch","Gathering Restrictions          Public Health Orders","129.4","115","88901"
"68","Edmonton - Northgate","Watch","Gathering Restrictions          Public Health Orders","150.5","124","82404"
"69","Edmonton - Rutherford","Watch","Gathering Restrictions          Public Health Orders","89.3","93","104153"
"70","Edmonton - Twin Brooks","Watch","Gathering Restrictions          Public Health Orders","60.8","46","75685"
"71","Edmonton - West Jasper Place","Watch","Gathering Restrictions          Public Health Orders","71.3","72","101046"
"72","Edmonton - Woodcroft East","Watch","Gathering Restrictions          Public Health Orders","82.8","50","60381"
"73","Edmonton - Woodcroft West","Open","Gathering Restrictions          Public Health Orders","21.6","7","32479"
"74","Flagstaff County","Open","Gathering Restrictions          Public Health Orders","0","0","8560"
