"","Region name","Region classification","Measures","Active case rate (per 100,000 population)","Active cases","Population"
"1","Athabasca County","Open","Gathering Restrictions          Public Health Orders","15.2","2","13196"
"2","Beaver County","Open","Gathering Restrictions          Public Health Orders","9.8","1","10191"
"3","Big Lakes County","Open","Gathering Restrictions          Public Health Orders","0","0","12234"
"4","Birch Hills County","Open","Gathering Restrictions          Public Health Orders","0","0","1479"
"5","Brazeau County","Open","Gathering Restrictions          Public Health Orders","47.5","8","16839"
"6","Calgary - Centre","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","278","184","66198"
"7","Calgary - Centre North","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","197","88","44663"
"8","Calgary - Centre West","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","145.6","95","65260"
"9","Calgary - East","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","185","134","72430"
"10","Calgary - Elbow","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","259.6","106","40835"
"11","Calgary - Fish Creek","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","135.4","152","112298"
"12","Calgary - Lower Ne","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","293.9","283","96301"
"13","Calgary - Lower Nw","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","150.2","94","62572"
"14","Calgary - North","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","255.1","292","114470"
"15","Calgary - Nosehill","Enhanced","Gathering Restrictions          Public Health Orders","148.4","115","77497"
"16","Calgary - Se","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","155.8","204","130916"
"17","Calgary - Sw","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","167.4","192","114710"
"18","Calgary - Upper Ne","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","475.7","547","114978"
"19","Calgary - Upper Nw","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","196.9","240","121916"
"20","Calgary - West","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","130.9","120","91700"
"21","Calgary - West Bow","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","118.8","25","21039"
"22","Camrose County","Open","Gathering Restrictions          Public Health Orders","46.4","4","8629"
"23","Cardston County","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","97.2","16","16459"
"24","City Of Airdrie","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","341.4","239","70009"
"25","City Of Beaumont","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","220.6","41","18586"
"26","City Of Brooks","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","259.1","50","19297"
"27","City Of Calgary","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","212.8","2868","1347732"
"28","City Of Camrose","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","116","25","21543"
"29","City Of Chestermere","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","382.7","80","20905"
"30","City Of Cold Lake","Open","Gathering Restrictions          Public Health Orders","15.2","3","19763"
"31","City Of Edmonton","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","256.6","2622","1021628"
"32","City Of Fort Saskatchewan","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","202","54","26738"
"33","City Of Grande Prairie","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","135.7","100","73697"
"34","City Of Lacombe","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","107.3","20","18640"
"35","City Of Leduc","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","145.4","48","33017"
"36","City Of Lethbridge","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","198","196","98987"
"37","City Of Lloydminster","Open","Gathering Restrictions          Public Health Orders","4.5","1","22277"
"38","City Of Medicine Hat","Open","Gathering Restrictions          Public Health Orders","39.7","27","68057"
"39","City Of Red Deer","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","85.9","91","105939"
"40","City Of Spruce Grove","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","116","43","37076"
"41","City Of St. Albert","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","145.1","100","68923"
"42","City Of Wetaskiwin","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","160.7","27","16799"
"43","Clear Hills County","Open","Gathering Restrictions          Public Health Orders","33.4","1","2998"
"44","Clearwater County","Open","Gathering Restrictions          Public Health Orders","29.6","6","20304"
"45","County Of Barrhead No. 11","Open","Gathering Restrictions          Public Health Orders","59.3","6","10116"
"46","County Of Forty Mile No. 8","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","419","27","6443"
"47","County Of Grande Prairie No. 1","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","95.8","30","31319"
"48","County Of Minburn No. 27","Open","Gathering Restrictions          Public Health Orders","48.2","5","10380"
"49","County Of Newell","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","259.5","21","8093"
"50","County Of Northern Lights","Open","Gathering Restrictions          Public Health Orders","54","2","3702"
"51","County Of Paintearth No. 18","Open","Gathering Restrictions          Public Health Orders","0","0","3947"
"52","County Of St. Paul No. 19","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","72.8","12","16493"
