Date,BEDCAP_ICU,VENTCAP_ICU,BEDCAP_OTHER,VENTCAP_OTHER,COVID_NEWICU,COVID_ICU,COVID_NEWOTHER,COVID_OTHER,COVID_VENT,VENTCAP_TOTAL,NONCOVID_ICU,NONCOVID_OTHER,NONCOVID_VENT
2020-04-01,4113,2056,46006,531,,193,,327,127,2587,167,6514,106
2020-04-02,5063,2173,58303,898,,415,,734,295,3071,556,12432,106
2020-04-03,5063,2173,58196,898,,422,,798,314,3071,551,12339,106
2020-04-04,5063,2173,58561,898,,455,,869,328,3071,551,12339,106
2020-04-05,5063,2173,58901,898,,488,,879,340,3071,551,12339,106
2020-04-06,5063,2173,58908,898,,505,,906,377,3071,535,12324,106
2020-04-07,5135,2173,58929,898,,527,,965,396,3071,558,12288,106
2020-04-08,5149,2825,59672,956,,554,,1025,426,3781,548,12449,90
2020-04-09,5149,3665,59613,956,,544,51,1110,435,4621,1590,23405,507
2020-04-10,5149,3665,59381,956,40,498,90,1218,377,4621,1579,23372,494
2020-04-11,5189,3665,60017,956,12,509,125,1266,318,4621,1561,23369,469
2020-04-12,5189,3665,59889,956,13,519,138,1313,333,4621,1558,23491,470
2020-04-13,5189,3665,59886,956,11,500,164,1411,371,4621,1674,24941,486
2020-04-14,5190,3666,60091,958,15,529,181,1426,374,4624,1674,25359,485
2020-04-15,5458,3963,61779,916,11,522,159,1517,379,4879,1681,26036,508
2020-04-16,6642,3967,62307,916,12,527,157,1547,336,4883,1600,27944,530
2020-04-17,6642,3967,61883,916,15,525,213,1614,326,4883,1611,27284,538
2020-04-18,6638,3975,61690,916,2,515,136,1635,324,4891,1591,27514,476
2020-04-19,6638,3960,61720,916,22,534,195,1737,366,4876,1630,27812,500
2020-04-20,6638,3940,62277,962,15,530,170,1813,362,4902,1681,28609,546
2020-04-21,6638,3940,62305,962,13,524,202,1882,362,4902,1739,28912,556
2020-04-22,6656,3940,61991,923,18,516,309,2044,351,4863,1741,28631,545
2020-04-23,6656,3940,61896,923,20,541,214,2091,379,4863,1746,28750,566
2020-04-24,6653,3939,61964,923,13,525,214,2164,349,4862,1727,28505,533
2020-04-25,6653,3939,62060,923,8,525,150,2183,343,4862,1728,28792,515
2020-04-26,6653,3939,61558,923,14,519,166,2226,372,4862,1744,28501,503
2020-04-27,6653,3939,61572,923,12,520,238,2335,374,4862,1783,29114,566
2020-04-28,6652,3938,62063,923,9,525,226,2374,367,4861,1817,29626,577
2020-04-29,6651,3937,62283,931,12,510,247,2444,355,4868,1832,29759,588
2020-04-30,6651,3937,62285,931,11,502,203,2441,350,4868,1785,29814,578
2020-05-01,6651,3937,61735,931,18,497,204,2481,309,4868,1857,29193,566
2020-05-02,6651,3937,61515,931,9,498,182,2493,328,4868,1872,29131,538
2020-05-03,6651,3937,62147,931,12,491,135,2573,340,4868,1855,29924,523
2020-05-04,6651,3937,62384,931,19,490,211,2611,332,4868,1923,30477,564
2020-05-05,6651,3937,62473,931,12,482,191,2638,339,4868,1936,30445,572
2020-05-06,6648,3934,62571,947,15,489,181,2614,321,4881,1896,31018,560
2020-05-07,6651,3937,62700,1000,4,466,187,2621,327,4937,1883,30897,540
2020-05-08,6649,3935,62152,1002,11,452,177,2587,308,4937,1867,30412,530
2020-05-09,6650,3935,62513,1002,13,440,130,2649,274,4937,1895,30435,500
2020-05-10,6649,3935,62574,1002,4,429,112,2612,289,4937,1884,30781,526
2020-05-11,6649,3935,62741,1002,5,417,148,2667,284,4937,1966,31322,548
2020-05-12,6649,3935,61960,1022,11,420,177,2701,288,4957,1989,30945,560
2020-05-13,6651,3937,62765,1020,10,408,184,2628,290,4957,2024,31572,546
