Date,BEDCAP_ICU,VENTCAP_ICU,BEDCAP_OTHER,VENTCAP_OTHER,COVID_NEWICU,COVID_ICU,COVID_NEWOTHER,COVID_OTHER,COVID_VENT,VENTCAP_TOTAL,NONCOVID_ICU,NONCOVID_OTHER,NONCOVID_VENT,
2020-04-01,4113,2056,48653,531,,193,,327,127,2587,167,6514,106,106
2020-04-02,5063,2173,60950,898,,415,,734,281,3071,389,5918,,
2020-04-03,5063,2173,60843,898,,422,,798,300,3071,384,5825,,
2020-04-04,5063,2173,61208,898,,455,,869,314,3071,,,,
2020-04-05,5063,2173,61548,898,,488,,879,326,3071,,,,
2020-04-06,5063,2173,61555,898,,505,,906,363,3071,368,5810,,
2020-04-07,5135,2173,61576,898,,527,,965,382,3071,391,5774,,
2020-04-08,5149,2825,62319,956,,554,,1025,426,3781,548,12449,90,90
2020-04-09,5149,3665,62260,956,,544,51,1110,420,4621,1426,16792,417,
2020-04-10,5149,3665,62028,956,40,498,90,1218,362,4621,1415,16759,404,
2020-04-11,5189,3665,62664,956,12,509,125,1266,303,4621,1033,10938,379,
2020-04-12,5189,3665,62536,956,13,519,138,1313,318,4621,1030,11060,380,
2020-04-13,5189,3665,62533,956,11,500,164,1411,356,4621,1510,18328,396,
2020-04-14,5190,3666,62738,958,15,529,181,1426,359,4624,1510,18746,395,
2020-04-15,5458,3963,64426,916,11,522,159,1517,379,4879,1681,26036,508,76
2020-04-16,6642,3967,64954,916,12,527,157,1547,327,4883,1448,21335,454,
2020-04-17,6642,3967,64530,916,15,525,213,1614,317,4883,1388,18980,448,
2020-04-18,6638,3975,64337,916,2,515,136,1635,315,4891,1368,19210,386,
2020-04-19,6638,3960,64367,916,22,534,195,1737,357,4876,1231,14844,424,
2020-04-20,6638,3940,64924,962,15,530,170,1813,353,4902,1466,20264,457,
2020-04-21,6638,3940,64952,962,13,524,202,1882,353,4902,1587,22303,480,
2020-04-22,6656,3940,64638,923,18,516,309,2044,351,4863,1667,26864,527,70
2020-04-23,6656,3940,64543,923,20,541,214,2091,366,4863,1612,22536,496,
2020-04-24,6653,3939,64611,923,13,525,214,2164,336,4862,1524,20512,446,
2020-04-25,6653,3939,64707,923,8,525,150,2183,330,4862,1525,20799,428,
2020-04-26,6653,3939,64205,923,14,519,166,2226,359,4862,1325,15846,433,
2020-04-27,6653,3939,64219,923,12,520,238,2335,361,4862,1579,21163,478,
2020-04-28,6652,3938,64710,923,9,525,226,2374,354,4861,1683,23412,507,
2020-04-29,6651,3937,64930,931,12,510,247,2444,355,4868,1750,27989,570,87
2020-04-30,6651,3937,64932,931,11,502,203,2441,332,4868,1620,23571,491,
2020-05-01,6651,3937,64382,931,18,497,204,2481,291,4868,1618,21227,467,
2020-05-02,6651,3937,64162,931,9,498,182,2493,310,4868,1633,21165,439,
