severity,age_group,count_female,prop_female,count_male,prop_male,count_other,prop_other,count_total,prop_total
hospitalization,80+,2296,18.5%,1621,13.1%,0,0.0%,3917,31.6%
hospitalization,70-79,1135,9.2%,1395,11.3%,0,0.0%,2530,20.4%
hospitalization,60-69,833,6.7%,1273,10.3%,0,0.0%,2106,17.0%
hospitalization,50-59,684,5.5%,1021,8.2%,1,0.0%,1706,13.8%
hospitalization,40-49,420,3.4%,521,4.2%,0,0.0%,941,7.6%
hospitalization,30-39,311,2.5%,322,2.6%,0,0.0%,633,5.1%
hospitalization,20-29,224,1.8%,164,1.3%,0,0.0%,388,3.1%
hospitalization,0-19,92,0.7%,81,0.7%,0,0.0%,173,1.4%
hospitalization,total,5995,48.4%,6398,51.6%,1,0.0%,12394,100.0%
icu,80+,151,6.0%,142,5.6%,0,0.0%,293,11.7%
icu,70-79,207,8.2%,370,14.7%,0,0.0%,577,23.0%
icu,60-69,206,8.2%,425,16.9%,0,0.0%,631,25.1%
icu,50-59,181,7.2%,340,13.5%,0,0.0%,521,20.7%
icu,40-49,93,3.7%,146,5.8%,0,0.0%,239,9.5%
icu,30-39,51,2.0%,76,3.0%,0,0.0%,127,5.1%
icu,20-29,50,2.0%,44,1.8%,0,0.0%,94,3.7%
icu,0-19,14,0.6%,18,0.7%,0,0.0%,32,1.3%
icu,total,953,37.9%,1561,62.1%,0,0.0%,2514,100.0%
deaths,80+,3995,42.4%,2723,28.9%,0,0.0%,6718,71.3%
deaths,70-79,707,7.5%,1001,10.6%,0,0.0%,1708,18.1%
deaths,60-69,259,2.8%,427,4.5%,0,0.0%,686,7.3%
deaths,50-59,93,1.0%,132,1.4%,0,0.0%,225,2.4%
deaths,40-49,16,0.2%,36,0.4%,0,0.0%,52,0.6%
deaths,30-39,4,0.0%,11,0.1%,0,0.0%,15,0.2%
deaths,20-29,4,0.0%,7,0.1%,0,0.0%,11,0.1%
deaths,0-19,1,0.0%,1,0.0%,0,0.0%,2,0.0%
deaths,total,5079,53.9%,4338,46.1%,0,0.0%,9417,100.0%
