Date,Last_Update,RHA,Area,Area_Name,Total_Tests,Daily_Tests,Total_Cases,Active_Cases,Recovered,Deaths,New_Cases,Current_Hospitalizations,Current_ICU_Patients,Population,Rate,ObjectId
2020-11-10,"November 10, 2020",All,All,All,290560.0,1762.0,8878,5390,3374,114,384.0,207.0,30.0,,647.45,1
2020-11-10,"November 10, 2020",Interlake-Eastern,Interlake-Eastern,Interlake-Eastern,,,689,430,254,5,26.0,15.0,9.0,,549.21,2
2020-11-10,"November 10, 2020",Northern,Northern,Northern,,,413,274,138,1,41.0,14.0,1.0,,537.96,3
2020-11-10,"November 10, 2020",Prairie Mountain Health,Prairie Mountain Health,Prairie Mountain Health,,,736,128,604,4,18.0,3.0,0.0,,430.28,4
2020-11-10,"November 10, 2020",Southern Health-Santé Sud,Southern Health-Santé Sud,Southern Health-Santé Sud,,,1413,636,758,19,83.0,41.0,6.0,,680.58,5
2020-11-10,"November 10, 2020",Winnipeg,Winnipeg,Winnipeg,,,5627,3922,1620,85,216.0,134.0,14.0,,711.99,6
2020-11-10,"November 10, 2020",Interlake-Eastern,IE11,Selkirk,,,11,6,5,0,,,,,103.07,7
2020-11-10,"November 10, 2020",Interlake-Eastern,IE21,Stonewall/Teulon,,,71,28,41,2,,,,,424.44,8
2020-11-10,"November 10, 2020",Interlake-Eastern,IE22,Wpg Beach/St. Andrews,,,48,23,24,1,,,,,281.41,9
2020-11-10,"November 10, 2020",Interlake-Eastern,IE23,St. Clements,,,20,6,14,0,,,,,238.04,10
2020-11-10,"November 10, 2020",Interlake-Eastern,IE24,Springfield,,,58,20,38,0,,,,,474.55,11
2020-11-10,"November 10, 2020",Interlake-Eastern,IE31,Beausejour,,,26,8,18,0,,,,,265.52,12
2020-11-10,"November 10, 2020",Interlake-Eastern,IE32,Pinawa/Lac du Bonnet,,,13,6,7,0,,,,,160.91,13
2020-11-10,"November 10, 2020",Interlake-Eastern,IE33,Whiteshell,,,4,4,0,0,,,,,143.06,14
2020-11-10,"November 10, 2020",Interlake-Eastern,IE41,Gimli,,,3,1,2,0,,,,,47.76,15
2020-11-10,"November 10, 2020",Interlake-Eastern,IE42,Arborg/Riverton,,,24,4,20,0,,,,,450.62,16
2020-11-10,"November 10, 2020",Interlake-Eastern,IE43,St. Laurent,,,4,1,3,0,,,,,102.88,17
2020-11-10,"November 10, 2020",Interlake-Eastern,IE51,Powerview/Pine Falls,,,17,9,8,0,,,,,275.57,18
2020-11-10,"November 10, 2020",Interlake-Eastern,IE52,Fisher/Peguis,,,219,192,27,0,,,,,3141.14,19
2020-11-10,"November 10, 2020",Interlake-Eastern,IE53,Eriksdale/Ashern,,,75,72,2,1,,,,,1077.12,20
2020-11-10,"November 10, 2020",Interlake-Eastern,IE61,Northern Remote,,,65,33,31,1,,,,,1583.82,21
2020-11-10,"November 10, 2020",Northern,NO11,The Pas/OCN/Kelsey,,,183,142,41,0,,,,,1643.32,22
2020-11-10,"November 10, 2020",Northern,NO12,Flin Flon/Snow Lake/Cranberry/Sherridon,,,6,2,4,0,,,,,78.83,23
2020-11-10,"November 10, 2020",Northern,NO13,Lynn/MC FN/Leaf/O-P FN (SIL)/PN FN (Granville),,,5,3,2,0,,,,,211.77,24
2020-11-10,"November 10, 2020",Northern,NO14,Thompson/Mystery Lake,,,58,13,45,0,,,,,394.18,25
2020-11-10,"November 10, 2020",Northern,NO15,Bay Line,,,3,1,2,0,,,,,248.14,26
2020-11-10,"November 10, 2020",Northern,NO16,Gillam/Fox Lake CN,,,2,0,2,0,,,,,149.37,27
2020-11-10,"November 10, 2020",Northern,NO21,GR/Misipawistik CN/ML/Mosakahiken CN/Eas/Chemawawin FN,,,13,13,0,0,,,,,311.75,28
2020-11-10,"November 10, 2020",Northern,NO22,Pukatawagan/Mathias Colomb CN,,,0,0,0,0,,,,,0.0,29
2020-11-10,"November 10, 2020",Northern,NO23,Sayisi Dene/Tadoule/Barren Lands/Brochet/Northlands/Lac Br,,,1,1,0,0,,,,,61.35,30
2020-11-10,"November 10, 2020",Northern,NO24,Nelson House/Nisichawayasihk Cree Nation,,,8,3,5,0,,,,,300.41,31
2020-11-10,"November 10, 2020",Northern,NO25,Shamattawa FN/York Factory FN/Tataskweyak CN/Split Lake,,,13,2,11,0,,,,,374.21,32
2020-11-10,"November 10, 2020",Northern,NO26,Bunibonibee/Oxford House/Manto Sipi/God's River/God's Lake,,,6,4,2,0,,,,,138.19,33
2020-11-10,"November 10, 2020",Northern,NO27,Cross Lake/Pimicikamak CN,,,73,70,3,0,,,,,1353.86,34
2020-11-10,"November 10, 2020",Northern,NO28,Norway House/Norway House CN,,,1,1,0,0,,,,,17.14,35
2020-11-10,"November 10, 2020",Northern,NO31,Island Lake,,,11,10,0,1,,,,,122.11,36
2020-11-10,"November 10, 2020",Southern Health-Santé Sud,SO11,Seven Regions,,,16,2,14,0,,,,,254.61,37
2020-11-10,"November 10, 2020",Southern Health-Santé Sud,SO12,North Norfolk,,,13,1,12,0,,,,,282.55,38
2020-11-10,"November 10, 2020",Southern Health-Santé Sud,SO13,Rural Portage,,,40,12,27,1,,,,,611.9,39
