Reporting,Confirmed Cases,,Currently hospitalized,,New,Total neg.,Cumulative Case Numbers by Zone,,,,Gender %,,Age Demographics %,,,,
Date,New,Resolved,non-ICU,ICU,Deaths,Tests,Western,Northern,Eastern,Central,Female,Male,0 -> 19,20 -> 39,40 -> 59,60 -> 79,80+
2020-03-15,3,0,,,0,415,1,0,0,2,,,,,,,
2020-03-16,2,0,,,0,671,1,0,0,4,,,,,,,
2020-03-17,2,0,,,0,934,2,0,0,5,,,,,,,
2020-03-18,5,0,,,0,1141,4,0,1,7,,,,,,,
2020-03-19,3,0,,,0,1373,4,0,2,9,,,,,,,
2020-03-20,1,1,,,0,1546,4,0,2,10,,,,,,,
2020-03-21,5,2,,,0,1826,5,0,2,14,,,,,,,
2020-03-22,8,2,,,0,2088,5,2,2,20,,,,,,,
2020-03-23,13,2,,,0,2308,8,2,2,30,,,,,,,
2020-03-24,10,3,,,0,2474,10,2,4,36,,,,,,,
2020-03-25,17,4,,,0,2772,10,8,6,45,,,,,,,
2020-03-26,5,7,,,0,3201,10,9,7,48,,,,,,,
2020-03-27,17,10,,,0,3649,15,10,7,59,,,,,,,
2020-03-28,21,12,,,0,4031,16,13,13,70,,,,,,,
2020-03-29,12,28,,,0,4731,18,16,13,77,,,,,,,
2020-03-30,5,30,,,0,5045,18,17,13,81,,,,,,,
2020-03-31,19,36,,,0,5763,20,23,14,91,,,,,,,
2020-04-01,25,48,,,0,6591,30,28,16,99,47%,53%,,,,,
2020-04-02,20,55,,,0,7446,31,31,19,112,49%,51%,,,,,
2020-04-03,14,73,,,0,8234,32,31,20,124,49%,51%,,,,,
2020-04-04,29,80,,,0,8964,33,34,22,147,51%,49%,,,,,
2020-04-05,26,88,,,0,9510,37,35,23,167,52%,48%,,,,,
2020-04-06,31,95,,,1,10218,39,39,26,189,52%,48%,,,,,
2020-04-07,17,108,,,0,10621,40,41,29,200,51%,49%,,,,,
2020-04-08,32,116,,,1,11346,40,43,33,226,53%,47%,,,,,
2020-04-09,31,126,6,4,1,12177,42,44,35,252,53%,47%,,,,,
2020-04-10,34,135,4,4,0,13014,42,45,38,282,53%,47%,,,,,
2020-04-11,21,145,4,4,0,13632,43,45,38,302,52%,48%,,,,,
2020-04-12,17,158,5,4,0,14295,43,45,39,318,53%,47%,,,,,
2020-04-13,29,191,5,4,1,15580,44,45,41,344,52%,48%,,,,,
2020-04-14,43,206,6,4,0,16755,44,45,41,387,53%,47%,,,,,
2020-04-15,32,235,5,4,0,17419,44,46,43,416,49%,52%,,,,,
2020-04-16,30,238,7,4,0,18453,45,46,44,444,54%,46%,,,,,
2020-04-17,27,255,6,5,4,19506,46,47,45,468,55%,45%,,,,,
2020-04-18,43,283,6,5,2,20312,47,47,46,509,56%,44%,11%,25%,30%,25%,8%
2020-04-19,26,324,7,4,1,21120,47,48,46,534,57%,43%,11%,25%,29%,25%,10%
2020-04-20,46,371,8,4,3,21769,51,49,47,574,58%,42%,10%,23%,28%,25%,12%
2020-04-21,16,404,8,3,2,22190,52,49,47,589,58%,42%,11%,24%,28%,25%,12%
2020-04-22,35,425,7,3,2,22993,52,49,48,623,58%,42%,10%,25%,28%,24%,14%
2020-04-23,55,451,6,4,3,23731,52,51,49,675,59%,41%,10%,24%,28%,24%,14%
2020-04-24,23,481,8,3,3,24521,52,51,50,697,60%,40%,10%,24%,27%,24%,15%
2020-04-25,15,510,8,3,2,25119,52,51,51,711,60%,40%,10%,25%,27%,23%,15%
2020-04-26,8,532,10,3,1,25615,52,51,51,719,61%,39%,10%,24%,28%,23%,15%
2020-04-27,27,547,9,3,2,26231,52,52,51,745,61%,39%,10%,25%,28%,23%,15%
2020-04-28,15,554,9,3,3,26902,52,52,51,760,61%,39%,10%,25%,27%,23%,17%
2020-04-29,20,576,8,3,2,27486,52,52,51,780,62%,38%,10%,24%,27%,23%,17%
2020-04-30,12,597,7,3,0,28209,52,52,51,792,61%,39%,10%,24%,27%,21%,18%
2020-05-01,12,615,7,3,6,28883,52,52,51,804,61%,39%,10%,25%,27%,21%,17%
2020-05-02,4,626,6,3,1,29406,52,52,51,808,61%,39%,10%,25%,27%,22%,17%
2020-05-03,8,672,3,3,2,29945,52,52,51,816,61%,39%,10%,25%,27%,22%,17%
2020-05-04,14,690,4,2,1,30441,52,52,51,830,61%,39%,10%,25%,27%,21%,17%
2020-05-05,6,706,4,2,1,30984,52,52,51,836,61%,39%,10%,25%,27%,22%,17%
2020-05-06,7,732,3,2,3,31541,52,54,51,841,61%,39%,10%,25%,27%,22%,17%
2020-05-07,9,747,3,2,1,32289,52,55,51,849,62%,38%,10%,25%,27%,21%,17%
2020-05-08,1,756,3,2,1,32835,52,55,51,850,62%,38%,10%,25%,27%,21%,17%
2020-05-09,3,766,5,2,0,33190,52,55,51,853,62%,38%,10%,25%,27%,21%,17%
2020-05-10,7,790,6,3,1,33579,52,55,52,859,62%,38%,10%,26%,26%,22%,17%
2020-05-11,1,865,6,3,2,33869,52,56,52,859,62%,38%,10%,26%,26%,22%,17%
2020-05-12,1,890,5,4,1,34204,52,56,52,860,62%,38%,10%,25%,26%,22%,17%
2020-05-13,4,904,5,4,1,34604,52,56,52,864,62%,38%,10%,26%,26%,22%,17%
2020-05-14,2,915,5,4,3,35004,52,56,52,866,62%,38%,10%,25%,26%,22%,17%
