date,lhin_region,ICU,ICU_vented,hospitalizations
04/02/2020,CENTRAL,51,39,113
04/03/2020,CENTRAL,57,52,141
04/04/2020,CENTRAL,65,57,143
04/05/2020,CENTRAL,65,55,174
04/06/2020,CENTRAL,73,58,187
04/07/2020,CENTRAL,83,68,183
04/08/2020,CENTRAL,85,68,203
04/09/2020,CENTRAL,92,73,205
04/10/2020,CENTRAL,88,73,218
04/11/2020,CENTRAL,90,77,230
04/12/2020,CENTRAL,93,70,237
04/13/2020,CENTRAL,92,78,248
04/14/2020,CENTRAL,89,73,265
04/15/2020,CENTRAL,89,74,284
04/16/2020,CENTRAL,86,67,287
04/17/2020,CENTRAL,86,72,293
04/18/2020,CENTRAL,90,74,298
04/19/2020,CENTRAL,88,73,299
04/20/2020,CENTRAL,87,74,309
04/21/2020,CENTRAL,88,72,317
04/22/2020,CENTRAL,85,68,316
04/23/2020,CENTRAL,85,67,320
04/24/2020,CENTRAL,88,67,351
04/25/2020,CENTRAL,91,73,367
04/26/2020,CENTRAL,92,70,383
04/27/2020,CENTRAL,91,70,382
04/28/2020,CENTRAL,89,65,370
04/29/2020,CENTRAL,86,64,381
04/30/2020,CENTRAL,86,61,402
05/01/2020,CENTRAL,79,59,411
05/02/2020,CENTRAL,79,55,415
05/03/2020,CENTRAL,87,65,396
05/04/2020,CENTRAL,85,66,396
05/05/2020,CENTRAL,86,67,433
05/06/2020,CENTRAL,84,67,435
05/07/2020,CENTRAL,83,60,433
05/08/2020,CENTRAL,81,64,437
05/09/2020,CENTRAL,78,63,445
05/10/2020,CENTRAL,76,53,391
05/11/2020,CENTRAL,75,58,433
05/12/2020,CENTRAL,78,60,445
05/13/2020,CENTRAL,76,56,452
05/14/2020,CENTRAL,74,55,458
05/15/2020,CENTRAL,73,56,451
05/16/2020,CENTRAL,74,59,458
05/17/2020,CENTRAL,65,57,439
05/18/2020,CENTRAL,68,56,439
05/19/2020,CENTRAL,66,53,444
05/20/2020,CENTRAL,67,51,453
05/21/2020,CENTRAL,66,52,449
05/22/2020,CENTRAL,64,52,429
05/23/2020,CENTRAL,63,52,409
05/24/2020,CENTRAL,64,49,395
05/25/2020,CENTRAL,61,50,402
05/26/2020,CENTRAL,62,50,386
05/27/2020,CENTRAL,65,54,388
05/28/2020,CENTRAL,66,42,389
05/29/2020,CENTRAL,61,52,383
05/30/2020,CENTRAL,60,39,387
05/31/2020,CENTRAL,60,47,368
06/01/2020,CENTRAL,62,48,359
06/02/2020,CENTRAL,61,47,378
06/03/2020,CENTRAL,62,49,384
06/04/2020,CENTRAL,58,45,380
06/05/2020,CENTRAL,57,45,364
06/06/2020,CENTRAL,58,48,326
06/07/2020,CENTRAL,55,45,320
06/08/2020,CENTRAL,53,41,304
06/09/2020,CENTRAL,51,41,285
06/10/2020,CENTRAL,52,39,282
06/11/2020,CENTRAL,53,40,252
06/12/2020,CENTRAL,48,34,231
06/13/2020,CENTRAL,46,21,222
06/14/2020,CENTRAL,45,30,206
06/15/2020,CENTRAL,44,23,193
06/16/2020,CENTRAL,42,27,191
06/17/2020,CENTRAL,37,24,175
06/18/2020,CENTRAL,33,19,167
06/19/2020,CENTRAL,93,69,149
06/20/2020,CENTRAL,29,22,157
06/21/2020,CENTRAL,31,22,146
06/22/2020,CENTRAL,24,17,143
06/23/2020,CENTRAL,25,18,148
06/24/2020,CENTRAL,24,18,139
06/25/2020,CENTRAL,22,19,132
06/26/2020,CENTRAL,21,17,126
06/27/2020,CENTRAL,19,15,122
06/28/2020,CENTRAL,19,14,108
06/29/2020,CENTRAL,19,14,111
06/30/2020,CENTRAL,16,14,99
07/01/2020,CENTRAL,18,13,104
07/02/2020,CENTRAL,19,12,62
07/03/2020,CENTRAL,19,12,62
07/05/2020,CENTRAL,18,9,50
07/06/2020,CENTRAL,18,9,49
07/07/2020,CENTRAL,17,11,50
07/08/2020,CENTRAL,17,13,48
07/09/2020,CENTRAL,15,11,47
07/10/2020,CENTRAL,17,11,44
07/11/2020,CENTRAL,14,9,52
07/12/2020,CENTRAL,14,10,45
07/13/2020,CENTRAL,12,10,47
07/14/2020,CENTRAL,13,11,46
07/15/2020,CENTRAL,14,12,45
07/16/2020,CENTRAL,15,11,45
07/17/2020,CENTRAL,15,11,36
07/18/2020,CENTRAL,16,12,33
07/19/2020,CENTRAL,15,11,33
07/20/2020,CENTRAL,15,12,34
07/21/2020,CENTRAL,15,11,37
07/22/2020,CENTRAL,17,10,43
07/23/2020,CENTRAL,17,9,40
07/24/2020,CENTRAL,15,9,34
07/25/2020,CENTRAL,15,9,34
07/26/2020,CENTRAL,14,9,30
07/27/2020,CENTRAL,16,8,29
07/28/2020,CENTRAL,16,9,32
07/29/2020,CENTRAL,13,8,31
07/30/2020,CENTRAL,13,7,29
07/31/2020,CENTRAL,12,7,27
08/01/2020,CENTRAL,12,7,27
08/02/2020,CENTRAL,11,8,26
08/03/2020,CENTRAL,10,8,31
08/04/2020,CENTRAL,10,8,29
08/05/2020,CENTRAL,11,8,24
08/06/2020,CENTRAL,11,7,29
08/07/2020,CENTRAL,8,6,23
08/08/2020,CENTRAL,7,7,16
08/09/2020,CENTRAL,7,6,24
08/10/2020,CENTRAL,8,7,19
08/11/2020,CENTRAL,7,6,21
08/12/2020,CENTRAL,7,6,19
08/13/2020,CENTRAL,7,6,16
08/14/2020,CENTRAL,6,5,16
08/15/2020,CENTRAL,6,5,13
08/16/2020,CENTRAL,6,5,11
08/17/2020,CENTRAL,5,5,7
08/18/2020,CENTRAL,5,5,12
08/19/2020,CENTRAL,4,4,12
08/20/2020,CENTRAL,4,3,10
08/21/2020,CENTRAL,4,3,13
08/22/2020,CENTRAL,4,3,13
08/23/2020,CENTRAL,4,4,14
08/24/2020,CENTRAL,4,4,13
08/25/2020,CENTRAL,6,6,15
08/26/2020,CENTRAL,8,6,19
08/27/2020,CENTRAL,10,7,22
08/28/2020,CENTRAL,10,8,31
08/29/2020,CENTRAL,10,4,23
08/30/2020,CENTRAL,11,7,21
08/31/2020,CENTRAL,10,5,19
09/01/2020,CENTRAL,11,6,24
09/02/2020,CENTRAL,8,6,20
09/03/2020,CENTRAL,7,6,22
09/04/2020,CENTRAL,9,6,29
09/05/2020,CENTRAL,10,6,26
09/06/2020,CENTRAL,11,6,27
09/07/2020,CENTRAL,13,6,28
09/08/2020,CENTRAL,11,5,28
09/09/2020,CENTRAL,8,5,30
09/10/2020,CENTRAL,8,6,28
09/11/2020,CENTRAL,8,6,23
09/12/2020,CENTRAL,8,5,22
09/13/2020,CENTRAL,8,6,19
09/14/2020,CENTRAL,9,6,22
09/15/2020,CENTRAL,10,5,25
09/16/2020,CENTRAL,11,7,23
09/17/2020,CENTRAL,12,7,22
09/18/2020,CENTRAL,10,6,25
09/19/2020,CENTRAL,10,6,28
09/20/2020,CENTRAL,12,6,32
09/21/2020,CENTRAL,12,7,37
09/22/2020,CENTRAL,14,8,44
09/23/2020,CENTRAL,14,6,46
09/24/2020,CENTRAL,15,6,45
09/25/2020,CENTRAL,14,6,45
09/26/2020,CENTRAL,16,8,44
09/27/2020,CENTRAL,16,9,47
09/28/2020,CENTRAL,16,10,50
09/29/2020,CENTRAL,15,10,53
09/30/2020,CENTRAL,18,10,49
10/01/2020,CENTRAL,18,10,52
10/02/2020,CENTRAL,17,10,55
10/03/2020,CENTRAL,18,11,52
10/04/2020,CENTRAL,18,12,49
10/05/2020,CENTRAL,19,12,52
10/06/2020,CENTRAL,18,12,61
10/07/2020,CENTRAL,16,12,61
10/08/2020,CENTRAL,18,13,68
10/09/2020,CENTRAL,19,13,82
10/10/2020,CENTRAL,22,12,85
10/11/2020,CENTRAL,23,13,88
10/12/2020,CENTRAL,23,12,81
10/13/2020,CENTRAL,27,14,89
10/14/2020,CENTRAL,30,15,84
10/15/2020,CENTRAL,30,13,105
10/16/2020,CENTRAL,34,17,107
10/17/2020,CENTRAL,32,17,119
10/18/2020,CENTRAL,29,15,110
10/19/2020,CENTRAL,28,14,117
10/20/2020,CENTRAL,28,18,125
10/21/2020,CENTRAL,27,20,118
10/22/2020,CENTRAL,27,23,116
10/23/2020,CENTRAL,28,18,115
10/24/2020,CENTRAL,31,24,127
10/25/2020,CENTRAL,31,24,127
10/26/2020,CENTRAL,31,23,141
10/27/2020,CENTRAL,30,23,139
10/28/2020,CENTRAL,29,24,129
10/29/2020,CENTRAL,31,23,127
10/30/2020,CENTRAL,34,26,127
10/31/2020,CENTRAL,35,30,133
11/01/2020,CENTRAL,35,23,135
11/02/2020,CENTRAL,34,21,140
11/03/2020,CENTRAL,30,21,137
11/04/2020,CENTRAL,30,20,148
11/05/2020,CENTRAL,40,22,155
11/06/2020,CENTRAL,39,24,151
11/07/2020,CENTRAL,42,25,171
11/08/2020,CENTRAL,38,25,160
11/09/2020,CENTRAL,35,25,158
11/10/2020,CENTRAL,35,23,180
11/11/2020,CENTRAL,37,23,186
11/12/2020,CENTRAL,40,26,200
11/13/2020,CENTRAL,45,28,213
11/14/2020,CENTRAL,43,27,231
11/15/2020,CENTRAL,47,30,224
11/16/2020,CENTRAL,50,29,231
