Collected_Date,Report_Date,LCC_Name,Municipality,Confirmed_Child_Cases,Confirmed_Staff_Provider_Cases,Confirmed_Unspecified_Cases,Total_Confirmed_Cases
2020-09-10,2020-09-11,ay Care (Governing Council of the Salvation Army),Toronto,0,1,,1
2020-09-10,2020-09-11,Andrew Fleck Home Child Care (two locations),Ottawa,2,1,,7
2020-09-10,2020-09-11,Beacon Learning Centre,Ottawa,0,1,,1
2020-09-10,2020-09-11,Centre de l’enfant Aux 4 vents,Ottawa,0,1,,1
2020-09-10,2020-09-11,Centre des Petits d’Ottawa (2005) Inc.,Ottawa,0,1,,1
2020-09-10,2020-09-11,Centre éducatif Coeur des Jeunes Roger-Saint-Denis,Kanata,0,1,,1
2020-09-10,2020-09-11,Centrepointe Home Care Agency,Nepean,5,0,,5
2020-09-10,2020-09-11,Children’s Village of Ottawa-Carleton Home Child Care Program (two locations),Ottawa,0,0,,2
2020-09-10,2020-09-11,Esther By Child Care Centre,Ottawa,0,0,,1
2020-09-10,2020-09-11,Imaginarium For Kids,Richmond Hill,0,0,,1
2020-09-10,2020-09-11,Kids Zone Childcare Centre,Mississauga,1,1,,2
2020-09-10,2020-09-11,K-W YMCA Child Care - Edna Staebler,Waterloo,0,0,,1
2020-09-10,2020-09-11,Le Ballon Rouge Brantford,Brantford,0,1,,1
2020-09-10,2020-09-11,Matthew-John Early Learning Centre,Toronto,0,0,,1
2020-09-10,2020-09-11,McKinnon Park Child Care Centre,Caledonia,1,0,,1
2020-09-10,2020-09-11,Northwest Childhood Learning Centre Inc.,Toronto,0,0,,1
2020-09-10,2020-09-11,PLP Early Learning Centre at St. Mark (op: Park Lawn Preschool Inc.),Toronto,0,1,,1
2020-09-10,2020-09-11,Rexdale Home Child Care Agency (PHDC) (3 locations),Toronto,1,3,,7
2020-09-10,2020-09-11,Sunnyside - Keele,Toronto,1,2,,4
2020-09-10,2020-09-11,The Alderbuds Child Care Centre of Etobicoke,Toronto,1,0,,1
2020-09-10,2020-09-11,Trillium School Age Program,Orleans,1,0,,1
2020-09-10,2020-09-11,Waterdown District School Age Program – Guy Brown Location,Waterdown,0,1,,1
2020-09-11,2020-09-14,Agincourt Temple Day Care (Governing Council of the Salvation Army),Toronto,0,1,,1
2020-09-11,2020-09-14,Andrew Fleck Home Child Care (two locations),Ottawa,2,1,,7
2020-09-11,2020-09-14,Beacon Learning Centre,Ottawa,0,1,,1
2020-09-11,2020-09-14,Centre de l’enfant Aux 4 vents,Ottawa,0,1,,1
2020-09-11,2020-09-14,Centre des Petits d’Ottawa (2005) Inc.,Ottawa,0,1,,1
2020-09-11,2020-09-14,Centre éducatif Coeur des Jeunes Roger-Saint-Denis,Kanata,0,1,,1
2020-09-11,2020-09-14,Centrepointe Home Care Agency,Nepean,5,0,,5
2020-09-11,2020-09-14,Children’s Village of Ottawa-Carleton Home Child Care Program (two locations),Ottawa,0,0,,2
2020-09-11,2020-09-14,Cumberland Hub Day Care,Orléans,1,0,,1
2020-09-11,2020-09-14,Esther By Child Care Centre,Ottawa,0,0,,1
2020-09-11,2020-09-14,Imaginarium For Kids,Richmond Hill,0,0,,1
2020-09-11,2020-09-14,Kids Zone Childcare Centre,Mississauga,1,1,,2
2020-09-11,2020-09-14,K-W YMCA Child Care - Edna Staebler,Waterloo,0,0,,1
2020-09-11,2020-09-14,Le Ballon Rouge Brantford,Brantford,0,1,,1
2020-09-11,2020-09-14,Matthew-John Early Learning Centre,Toronto,0,0,,1
2020-09-11,2020-09-14,McKinnon Park Child Care Centre,Caledonia,1,0,,1
2020-09-11,2020-09-14,Northwest Childhood Learning Centre Inc.,Toronto,0,0,,1
2020-09-11,2020-09-14,PLP Early Learning Centre at St. Mark (op: Park Lawn Preschool Inc.),Toronto,0,1,,1
2020-09-11,2020-09-14,Rexdale Home Child Care Agency (PHDC) (three locations),Toronto,1,3,,7
2020-09-11,2020-09-14,St. Veronica Children's Centre,Woodbridge,0,0,,1
2020-09-11,2020-09-14,Sunnyside - Keele,Toronto,1,2,,4
2020-09-11,2020-09-14,The Alderbuds Child Care Centre of Etobicoke,Toronto,1,0,,1
2020-09-11,2020-09-14,Trillium School Age Program,Orleans,1,0,,1
2020-09-11,2020-09-14,Waterdown District School Age Program – Guy Brown Location,Waterdown,0,1,,1
2020-09-14,2020-09-15,Agincourt Temple Day Care (Governing Council of the Salvation Army),Toronto,0,1,0,1
2020-09-14,2020-09-15,Andrew Fleck Home Child Care (two locations),Ottawa,2,1,0,7
2020-09-14,2020-09-15,Centre des Petits d’Ottawa (2005) Inc.,Ottawa,0,1,0,1
2020-09-14,2020-09-15,Centre éducatif Coeur des Jeunes Roger-Saint-Denis,Kanata,0,1,0,1
2020-09-14,2020-09-15,Centrepointe Home Care Agency (one location),Nepean,5,0,0,5
2020-09-14,2020-09-15,Children’s Village of Ottawa-Carleton Home Child Care Program (two locations),Ottawa,0,0,0,2
2020-09-14,2020-09-15,Cumberland Hub Day Care,Orléans,1,0,0,1
2020-09-14,2020-09-15,Fenside Drive Children's Centre Inc.,Toronto,1,0,0,1
2020-09-14,2020-09-15,Global Home Child Care (one location),Ottawa,0,0,0,1
2020-09-14,2020-09-15,Kids Zone Childcare Centre,Mississauga,1,1,0,2
2020-09-14,2020-09-15,Le Ballon Rouge Brantford,Brantford,0,1,0,1
2020-09-14,2020-09-15,Our Lady of Fatima School Age,Woodbridge,0,1,0,1
2020-09-14,2020-09-15,PLP Early Learning Centre at St. Mark (op: Park Lawn Preschool Inc.),Toronto,0,1,0,1
2020-09-14,2020-09-15,Rexdale Home Child Care Agency (PHDC) (three locations),Toronto,2,3,0,8
2020-09-14,2020-09-15,Sunnyside - Keele,Toronto,1,2,0,3
2020-09-14,2020-09-15,The Alderbuds Child Care Centre of Etobicoke,Toronto,1,0,0,1
2020-09-14,2020-09-15,Toronto Home Child Care Agency (#0000415) (City of Toronto) (one location),Toronto,0,0,0,1
2020-09-14,2020-09-15,Trillium School Age Program,Orleans,1,0,0,1
2020-09-14,2020-09-15,Woodgreen Community Services (Enderby Child Care),Toronto,1,0,0,1
2020-09-15,2020-09-16,Agincourt Temple Day Care (Governing Council of the Salvation Army),Toronto,0,1,0,1
2020-09-15,2020-09-16,Andrew Fleck Home Child Care (two locations),Ottawa,2,1,0,7
2020-09-15,2020-09-16,Centre des Petits d’Ottawa (2005) Inc.,Ottawa,0,1,0,1
2020-09-15,2020-09-16,Centre éducatif Coeur des Jeunes Roger-Saint-Denis,Kanata,0,1,0,1
2020-09-15,2020-09-16,Children’s Village of Ottawa-Carleton Home Child Care Program (two locations),Ottawa,0,0,0,2
2020-09-15,2020-09-16,Cumberland Hub Day Care,Orléans,1,0,0,1
2020-09-15,2020-09-16,Fenside Drive Children's Centre Inc.,Toronto,0,1,0,1
2020-09-15,2020-09-16,Global Home Child Care (one location),Ottawa,0,0,0,1
2020-09-15,2020-09-16,Kids Zone Childcare Centre,Mississauga,1,1,0,2
2020-09-15,2020-09-16,"La Coccinelle, Arc-en-Ciel",Cumberland,0,1,0,1
2020-09-15,2020-09-16,Le Ballon Rouge Brantford,Brantford,0,1,0,1
2020-09-15,2020-09-16,Macaulay Child Development Centre (The) (PHDC) (one location),Toronto,0,0,0,1
2020-09-15,2020-09-16,MIFO école St. Joseph d'Orléans,Orleans,0,1,0,1
2020-09-15,2020-09-16,Network Child Care Services - PHDC (one location),Toronto,0,0,0,1
2020-09-15,2020-09-16,Our Lady of Fatima School Age,Woodbridge,0,1,0,1
2020-09-15,2020-09-16,Rexdale Home Child Care Agency (PHDC) (three locations),Toronto,2,3,0,8
2020-09-15,2020-09-16,Sunnyside - Keele,Toronto,1,2,0,3
2020-09-15,2020-09-16,The Alderbuds Child Care Centre of Etobicoke,Toronto,1,0,0,1
2020-09-15,2020-09-16,Toronto Home Child Care Agency (#0000415) (City of Toronto) (one location),Toronto,0,0,0,1
2020-09-15,2020-09-16,Trillium School Age Program,Orleans,1,0,0,1
2020-09-15,2020-09-16,Woodgreen Community Services (Enderby Child Care),Toronto,1,0,0,1
2020-09-16,2020-09-17,Agincourt Temple Day Care (Governing Council of the Salvation Army),Toronto,0,1,0,1
2020-09-16,2020-09-17,Andrew Fleck Home Child Care (one location),Ottawa,0,1,0,1
2020-09-16,2020-09-17,Centre des Petits d'Ottawa (2005) Inc.,Ottawa,0,1,0,1
2020-09-16,2020-09-17,City View Centre for Child & Family Services (Group Care) (one location),Ottawa,0,1,0,1
2020-09-16,2020-09-17,Cumberland Hub Day Care,Orléans,1,0,0,1
2020-09-16,2020-09-17,Fenside Drive Children's Centre Inc.,Toronto,0,1,0,1
2020-09-16,2020-09-17,Kids Zone Childcare Centre,Mississauga,1,1,0,2
2020-09-16,2020-09-17,"La Coccinelle, Arc-en-Ciel",Cumberland,0,1,0,1
2020-09-16,2020-09-17,MIFO école St. Joseph d'Orléans,Orléans,0,1,0,1
2020-09-16,2020-09-17,Nottingham YMCA Schoolage,Ajax,1,0,0,1
2020-09-16,2020-09-17,Our Lady of Fatima School Age,Woodbridge,0,1,0,1
2020-09-16,2020-09-17,Rexdale Home Child Care Agency (PHDC) (three locations),Toronto,2,3,0,5
2020-09-16,2020-09-17,The Alderbuds Child Care Centre of Etobicoke,Toronto,1,0,0,1
2020-09-16,2020-09-17,Trillium School Age Program,Orleans,1,0,0,1
2020-09-16,2020-09-17,Woodgreen Community Services (Enderby Child Care),Toronto,1,0,0,1
2020-09-17,2020-09-18,Agincourt Temple Day Care (Governing Council of the Salvation Army),Toronto,0,1,0,1
2020-09-17,2020-09-18,Andrew Fleck Home Child Care,Ottawa,0,1,0,1
2020-09-17,2020-09-18,Brian W. Fleming Early Learning and Child Care Centre ,Mississauga,0,1,0,1
2020-09-17,2020-09-18,Centre des Petits d'Ottawa (2005) Inc.,Ottawa,0,1,0,1
2020-09-17,2020-09-18,City View Centre for Child & Family Services (Group Care),Ottawa,0,1,0,1
2020-09-17,2020-09-18,Cumberland Hub Day Care,Orléans,1,0,0,1
2020-09-17,2020-09-18,Family Day Care Services - St. Valentine Before & After School Program,Mississauga,0,1,0,1
2020-09-17,2020-09-18,Fenside Drive Children's Centre Inc.,Toronto,0,1,0,1
2020-09-17,2020-09-18,Garderie Tunney's Day Care,Ottawa,0,1,0,1
2020-09-17,2020-09-18,Kids Zone Childcare Centre,Mississauga,1,1,0,2
2020-09-17,2020-09-18,"La Coccinelle, Arc-en-Ciel",Cumberland,0,1,0,1
2020-09-17,2020-09-18,MIFO école St. Joseph d'Orléans,Orléans,0,1,0,1
2020-09-17,2020-09-18,Nottingham YMCA Schoolage,Ajax,1,0,0,1
2020-09-17,2020-09-18,Our Lady of Fatima School Age,Woodbridge,0,1,0,1
2020-09-17,2020-09-18,PLASP - Dixie Public School,Mississauga,0,1,0,1
2020-09-17,2020-09-18,Rexdale Home Child Care Agency (PHDC),Toronto,2,3,0,5
2020-09-17,2020-09-18,The Alderbuds Child Care Centre of Etobicoke,Toronto,1,0,0,1
2020-09-17,2020-09-18,Trillium School Age Program,Orleans,1,0,0,1
2020-09-17,2020-09-18,Wee Watch Private Home Daycare - Kanata / Hunt Club,Nepean,1,0,0,1
2020-09-17,2020-09-18,Woodgreen Community Services (Enderby Child Care),Toronto,1,0,0,1
2020-09-18,2020-09-21,Agincourt Temple Day Care (Governing Council of the Salvation Army),Toronto,0,1,0,1
2020-09-18,2020-09-21,Andrew Fleck Home Child Care (one location),Ottawa,0,1,0,1
2020-09-18,2020-09-21,Brian W. Fleming Early Learning and Child Care Centre ,Mississauga,0,1,0,1
2020-09-18,2020-09-21,Centre des Petits d'Ottawa (2005) Inc.,Ottawa,0,1,0,1
2020-09-18,2020-09-21,City View Centre for Child & Family Services (Group Care) (one location),Ottawa,0,1,0,1
2020-09-18,2020-09-21,Cumberland Hub Day Care,Orléans,1,0,0,1
2020-09-18,2020-09-21,Family Day Care Services - St. Valentine Before & After School Program,Mississauga,0,1,0,1
2020-09-18,2020-09-21,Fenside Drive Children's Centre Inc.,Toronto,0,1,0,1
2020-09-18,2020-09-21,Garderie Tunney's Day Care,Ottawa,0,1,0,1
2020-09-18,2020-09-21,Kids Zone Childcare Centre,Mississauga,1,1,0,2
2020-09-18,2020-09-21,"La Coccinelle, Arc-en-Ciel",Cumberland,0,1,0,1
2020-09-18,2020-09-21,MIFO école St. Joseph d'Orléans,Orléans,0,1,0,1
2020-09-18,2020-09-21,Montessori School House Inc,Maple,1,0,0,1
2020-09-18,2020-09-21,Nottingham YMCA Schoolage,Ajax,1,0,0,1
