collected_date,reported_date,current_lcc_centres_w_cases,current_lcc_centres_closed,current_total_number_lcc_centres,new_total_lcc_related_cases,new_lcc_related_child_cases,new_lcc_related_staff_cases,new_lcc_related_unspecified_cases,new_lcc_centres_closed,new_lcc_homes_closed,recent_lcc_related_cases,recent_lcc_related_child_cases,recent_lcc_related_staff_cases,recent_lcc_related_unspecified_cases,recent_lcc_centres_closed,recent_lcc_homes_closed,past_lcc_related_cases,past_lcc_related_child_cases,past_lcc_related_staff_cases,past_lcc_related_unspecified_cases,past_lcc_centres_closed,past_lcc_homes_closed,cumulative_lcc_related_cases,cumulative_lcc_related_child_cases,cumulative_lcc_related_staff_cases,cumulative_lcc_related_unspecified_cases,cumulative_lcc_centres_closed,cumulative_lcc_homes_closed
2020-09-10,2020-09-11,18,5,4375,4,0,1,,0,2,,,,,,,,,,,,,56,30,26,,18,64
2020-09-11,2020-09-14,20,5,4426,2,1,0,,0,2,,,,,,,,,,,,,58,31,26,,18,66
2020-09-14,2020-09-15,20,4,4886,6,2,2,0,1,5,,,,,,,,,,,,,64,33,28,0,19,71
2020-09-15,2020-09-16,14,5,4967,4,0,2,0,1,4,,,,,,,,,,,,,52,33,30,0,20,75
2020-09-16,2020-09-17,12,3,5010,2,1,1,0,0,5,,,,,,,,,,,,,72,34,38,0,20,80
2020-09-17,2020-09-18,16,4,5027,4,1,3,0,1,5,,,,,,,,,,,,,76,35,41,0,21,85
2020-09-18,2020-09-21,19,4,5034,4,3,1,0,0,5,,,,,,,,,,,,,80,38,42,0,21,90
2020-09-21,2020-09-22,30,8,5071,15,11,4,0,4,9,,,,,,,,,,,,,95,49,46,0,24,99
2020-09-22,2020-09-23,34,9,5080,9,1,8,0,1,16,,,,,,,,,,,,,104,50,54,0,25,115
2020-09-23,2020-09-24,37,11,5103,3,2,1,0,1,13,,,,,,,,,,,,,107,52,55,0,28,124
2020-09-24,2020-09-25,36,10,5111,2,2,0,0,0,15,,,,,,,,,,,,,109,54,55,0,28,137
2020-09-25,2020-09-28,40,10,5116,6,4,2,0,0,15,,,,,,,,,,,,,115,58,57,0,35,157
2020-09-28,2020-09-29,50,11,5149,11,7,4,0,1,19,,,,,,,,,,,,,126,65,61,0,36,176
2020-09-29,2020-09-30,55,13,5157,10,9,1,0,3,24,,,,,,,,,,,,,136,74,62,0,39,199
2020-09-30,2020-10-01,59,15,5158,8,5,3,0,2,16,76,46,30,0,15,109,68,33,35,0,26,106,144,79,65,0,41,215
2020-10-01,2020-10-02,68,15,5163,12,8,4,0,1,12,83,53,30,0,15,109,73,34,39,0,27,118,156,87,69,0,42,227
2020-10-02,2020-10-05,76,17,5166,14,11,3,0,3,6,94,62,32,0,17,105,76,36,40,0,27,128,170,98,72,0,44,233
2020-10-05,2020-10-06,88,20,5183,17,12,5,0,4,16,109,73,36,0,20,108,78,37,41,0,28,141,187,110,77,0,48,249
2020-10-06,2020-10-07,101,23,5187,23,14,9,0,5,18,127,84,43,0,23,110,83,40,43,0,30,157,210,124,86,0,53,267
2020-10-07,2020-10-08,101,25,5194,6,2,4,0,3,9,130,84,46,0,25,107,86,42,44,0,31,169,216,126,90,0,56,276
2020-10-08,2020-10-09,107,26,5198,20,9,11,0,1,9,141,86,55,0,26,103,95,49,46,0,31,182,236,135,101,0,57,285
2020-10-09,2020-10-13,107,27,5198,10,5,5,0,2,6,144,87,57,0,27,101,102,53,49,0,32,189,246,140,106,0,59,290
2020-10-13,2020-10-14,119,29,5216,15,9,6,0,2,8,154,93,61,0,29,98,107,56,51,0,32,200,261,149,112,0,61,298
2020-10-14,2020-10-15,129,32,5217,20,15,5,0,4,20,162,99,63,0,32,98,119,65,54,0,33,220,281,164,117,0,65,318
2020-10-15,2020-10-16,127,34,5220,11,7,4,0,4,4,165,101,64,0,34,97,127,70,57,0,35,225,292,171,121,0,69,322
2020-10-16,2020-10-19,122,35,5220,10,6,4,0,3,10,161,99,62,0,35,93,141,78,63,0,37,239,302,177,125,0,72,332
2020-10-19,2020-10-20,128,40,5228,21,14,7,0,7,11,170,107,63,0,40,95,153,84,69,0,39,248,323,191,132,0,79,343
2020-10-20,2020-10-21,133,43,5228,19,10,9,0,3,14,183,112,71,0,43,95,159,89,70,0,39,262,342,201,141,0,82,357
2020-10-21,2020-10-22,135,44,5231,7,3,4,0,2,3,183,112,71,0,44,83,166,92,74,0,40,277,349,204,145,0,84,360
2020-10-22,2020-10-23,133,40,5231,8,4,4,0,1,5,177,106,71,0,40,75,180,102,78,0,45,290,357,208,149,0,85,365
2020-10-23,2020-10-26,131,38,5231,9,3,6,0,1,2,175,104,71,0,38,68,189,105,84,0,48,299,364,209,155,0,86,367
2020-10-26,2020-10-27,137,40,5236,26,11,15,0,2,3,185,107,78,0,40,68,205,113,92,0,48,302,390,220,170,0,88,370
2020-10-27,2020-10-28,139,40,5237,9,7,2,0,2,10,188,108,80,0,40,63,211,119,92,0,50,317,399,227,172,0,90,380
