Date,Cumulative Cases by Episode Date,Cumulative Resolved Cases by Episode Date,Cumulative Active Cases by Episode Date,Cumulative Deaths by Date of Death,Daily Cases by Reported Date,7-day Average of Newly Reported cases by Reported Date,Daily Cases by Episode Date,Daily Cases Linked to a Community Outbreak by Episode Date,Daily Cases Linked to an Institutional Outbreak by Episode Date,Daily Cases Not Linked to an Outbreak (i.e. Sporadic Cases) by Episode Date,Cases Newly Admitted to Hospital,Cases Currently in Hospital,Cases Currently in ICU,"Cumulative Rate for 0-9 Years (per 100,000 pop) by Episode Date","Cumulative Rate for 10-19 Years (per 100,000 pop) by Episode Date","Cumulative Rate for 20-29 Years (per 100,000 pop) by Episode Date","Cumulative Rate for 30-39 Years (per 100,000 pop) by Episode Date","Cumulative Rate for 40-49 Years (per 100,000 pop) by Episode Date","Cumulative Rate for 50-59 Years (per 100,000 pop) by Episode Date","Cumulative Rate for 60-69 Years (per 100,000 pop) by Episode Date","Cumulative Rate for 70-79 Years (per 100,000 pop) by Episode Date","Cumulative Rate for 80-89 Years (per 100,000 pop) by Episode Date","Cumulative Rate for 90 Years and Over (per 100,000 pop) by Episode Date","Cumulative Rate for Males (per 100,000 pop) by Episode Date","Cumulative Rate for Females (per 100,000 pop) by Episode Date",Source of Infection is Close Contact by Episode Date,Source of Infection is Missing by Episode Date,Source of Infection is an Outbreak by Episode Date,Source of Infection is Travel by Episode Date,Source of Infection is Unknown by Episode Date,Sum of Non-Institutional Source of Infection Over the Last 14 Days,% No Known Source for Cases with Non-Institutional Source of Infection Over the Last 14 Days
2020-02-10 0:00,2,1,1,,,0,1,0,0,1,,1,,0.909314104,,,,,,0.840950947,,,,0.193174003,0.186223901,0,0,0,1,0,1,0
2020-02-11 0:00,2,1,1,,,0,0,0,0,0,,1,,0.909314104,,,,,,0.840950947,,,,0.193174003,0.186223901,0,0,0,0,0,1,0
2020-02-12 0:00,2,1,1,,,0,0,0,0,0,,1,,0.909314104,,,,,,0.840950947,,,,0.193174003,0.186223901,0,0,0,0,0,1,0
2020-02-13 0:00,2,1,1,,,0,0,0,0,0,,1,,0.909314104,,,,,,0.840950947,,,,0.193174003,0.186223901,0,0,0,0,0,1,0
2020-02-14 0:00,2,1,1,,,0,0,0,0,0,,1,,0.909314104,,,,,,0.840950947,,,,0.193174003,0.186223901,0,0,0,0,0,1,0
2020-02-15 0:00,2,1,1,,,0,0,0,0,0,,1,,0.909314104,,,,,,0.840950947,,,,0.193174003,0.186223901,0,0,0,0,0,1,0
2020-02-16 0:00,2,1,1,,,0,0,0,0,0,,1,,0.909314104,,,,,,0.840950947,,,,0.193174003,0.186223901,0,0,0,0,0,1,0
2020-02-17 0:00,2,1,1,,,0,0,0,0,0,,1,,0.909314104,,,,,,0.840950947,,,,0.193174003,0.186223901,0,0,0,0,0,1,0
2020-02-18 0:00,2,1,1,,,0,0,0,0,0,,1,,0.909314104,,,,,,0.840950947,,,,0.193174003,0.186223901,0,0,0,0,0,1,0
2020-02-19 0:00,2,1,1,,,0,0,0,0,0,,1,,0.909314104,,,,,,0.840950947,,,,0.193174003,0.186223901,0,0,0,0,0,1,0
2020-02-20 0:00,3,1,2,,,0,1,0,0,1,,1,,0.909314104,,,,,0.715379223,0.840950947,,,,0.386348007,0.186223901,0,0,0,1,0,2,0
2020-02-21 0:00,3,1,2,,,0,0,0,0,0,,1,,0.909314104,,,,,0.715379223,0.840950947,,,,0.386348007,0.186223901,0,0,0,0,0,2,0
2020-02-22 0:00,4,1,3,,,0,1,0,0,1,,1,,0.909314104,,,,,1.430758445,0.840950947,,,,0.57952201,0.186223901,0,0,0,0,1,3,33.33333333
2020-02-23 0:00,5,1,4,,,0,1,0,0,1,,1,,0.909314104,,,,,1.430758445,1.681901895,,,,0.57952201,0.372447801,0,0,0,1,0,4,25
2020-02-24 0:00,6,1,5,,,0,1,0,0,1,,1,,0.909314104,,,0.631875596,,1.430758445,1.681901895,,,,0.57952201,0.558671702,0,0,0,1,0,4,25
2020-02-25 0:00,6,1,5,,,0,0,0,0,0,,1,,0.909314104,,,0.631875596,,1.430758445,1.681901895,,,,0.57952201,0.558671702,0,0,0,0,0,4,25
2020-02-26 0:00,6,1,5,,,0,0,0,0,0,,1,,0.909314104,,,0.631875596,,1.430758445,1.681901895,,,,0.57952201,0.558671702,0,0,0,0,0,4,25
2020-02-27 0:00,6,1,5,,,0,0,0,0,0,,1,,0.909314104,,,0.631875596,,1.430758445,1.681901895,,,,0.57952201,0.558671702,0,0,0,0,0,4,25
2020-02-28 0:00,6,1,5,,,0,0,0,0,0,,1,,0.909314104,,,0.631875596,,1.430758445,1.681901895,,,,0.57952201,0.558671702,0,0,0,0,0,4,25
2020-02-29 0:00,6,1,5,,,0,0,0,0,0,,1,,0.909314104,,,0.631875596,,1.430758445,1.681901895,,,,0.57952201,0.558671702,0,0,0,0,0,4,25
2020-03-01 0:00,8,1,7,,,0,2,0,0,2,,1,,0.909314104,,,1.263751193,,1.430758445,2.522852842,,,,0.57952201,0.931119504,0,0,0,1,1,6,33.33333333
2020-03-02 0:00,11,1,10,,,0,3,2,0,3,,1,,0.909314104,,,1.895626789,1.483514446,1.430758445,2.522852842,,,,0.965870017,1.117343404,0,0,0,2,1,9,33.33333333
2020-03-03 0:00,12,1,11,,,0,1,0,0,1,,1,,0.909314104,,0.619202715,1.895626789,1.483514446,1.430758445,2.522852842,,,,1.15904402,1.117343404,0,0,0,1,0,10,30
2020-03-04 0:00,13,1,12,,,0,1,0,0,1,,1,,0.909314104,,0.619202715,1.895626789,2.225271669,1.430758445,2.522852842,,,,1.15904402,1.303567305,1,0,0,0,0,11,27.27272727
2020-03-05 0:00,19,2,17,,,0,6,2,0,6,,1,,0.909314104,,0.619202715,3.159377982,3.708786114,2.146137668,3.363803789,,,,1.738566031,1.862239007,2,0,2,1,1,16,25
2020-03-06 0:00,24,2,22,,,0,5,0,1,4,,1,,0.909314104,,1.238405429,3.791253578,3.708786114,2.86151689,4.204754737,1.319591982,,,2.124914038,2.420910709,1,0,0,2,2,21,28.57142857
2020-03-07 0:00,28,2,26,,,0,4,0,0,4,,1,,0.909314104,,1.238405429,3.791253578,5.19230056,3.576896113,5.045705684,1.319591982,,,2.511262044,2.793358511,0,0,0,4,0,24,20.83333333
2020-03-08 0:00,37,2,35,,,0,9,1,0,9,,1,,0.909314104,,1.238405429,3.791253578,8.159329451,5.007654558,7.568558526,1.319591982,,,3.477132061,3.538254114,2,0,1,5,1,32,18.75
2020-03-09 0:00,46,2,44,,1,0.142857143,9,0,0,9,,1,,0.909314104,0.883056789,2.476810858,4.423129174,8.901086674,5.72303378,9.250460421,2.639183964,,,3.670306065,5.028045319,3,0,0,5,1,40,17.5
2020-03-10 0:00,53,2,51,,,0.142857143,7,1,0,7,,1,,0.909314104,0.883056789,2.476810858,4.423129174,9.642843897,7.869171448,10.93236232,2.639183964,2.981514609,,4.829350085,5.21426922,3,0,1,3,0,47,14.89361702
2020-03-11 0:00,62,2,60,,,0.142857143,9,0,0,9,,1,,0.909314104,0.883056789,3.715216288,6.318755963,10.38460112,7.869171448,11.77331326,3.958775946,5.963029219,,5.795220102,5.959164823,1,0,0,7,1,56,14.28571429
2020-03-12 0:00,76,2,74,,3,0.571428571,14,1,0,14,,1,,0.909314104,0.883056789,3.715216288,8.214382752,14.83514446,9.299929893,11.77331326,6.597959911,8.944543828,,7.147438126,7.262732128,1,0,1,9,3,70,15.71428571
2020-03-13 0:00,98,2,96,,1,0.714285714,22,2,2,20,,1,,0.909314104,0.883056789,5.572824431,9.478133945,22.25271669,10.73068834,14.2961661,7.917551893,11.92605844,,10.43139618,8.193851632,3,1,2,11,5,91,17.58241758
2020-03-14 0:00,116,2,114,,4,1.285714286,18,1,1,17,1,2,,0.909314104,0.883056789,8.04963529,11.37376073,25.9615028,12.16144678,15.978068,9.237143875,14.90757305,,12.36313622,9.683642837,3,0,2,6,7,108,21.2962963
2020-03-15 0:00,143,3,140,,4,1.857142857,27,1,0,27,,2,,0.909314104,0.883056789,9.907243433,15.79688991,31.15380336,15.02296367,19.34187179,10.55673586,14.90757305,11.30198915,14.87439826,12.29077745,6,0,1,10,10,133,24.06015038
2020-03-16 0:00,158,3,155,,,1.714285714,15,0,0,15,,2,,0.909314104,1.766113579,9.907243433,18.95626789,33.37907503,18.59985979,20.18282274,10.55673586,14.90757305,11.30198915,15.84026828,14.15301645,5,0,0,10,0,145,21.37931034
2020-03-17 0:00,181,4,177,,5,2.428571429,23,1,0,23,2,4,,0.909314104,2.649170368,12.38405429,20.22001908,37.82961837,22.89213512,22.70567558,11.87632784,14.90757305,11.30198915,17.96518232,16.38770326,5,0,1,8,9,167,23.95209581
2020-03-18 0:00,197,5,192,,4,3,16,0,0,16,,3,,0.909314104,2.649170368,14.24166244,22.74752147,39.31313281,25.75365201,24.38757747,13.19591982,14.90757305,11.30198915,19.12422634,18.24994227,3,0,0,8,5,182,24.72527473
2020-03-19 0:00,222,5,217,,1,2.714285714,25,0,0,25,4,7,,0.909314104,2.649170368,17.33767601,24.01127266,40.79664726,31.47668579,27.75138126,17.15469577,17.88908766,11.30198915,22.21501039,19.92595738,5,0,0,10,10,201,26.86567164
2020-03-20 0:00,244,5,239,,2,2.857142857,22,1,1,21,3,10,1,0.909314104,2.649170368,19.19528415,27.17065064,43.76367615,32.90744424,30.2742341,21.11347171,23.85211688,11.30198915,24.53309843,21.78819638,7,0,2,6,7,217,27.18894009
