Location Name,Facility Type,Location in Facility,Reported Date,End Date,Resident/ Patient/ Child/ Student Cases,Resident/ Patient/ Child/ Student Deaths,Staff Cases,Staff Deaths,Total Cases,Total Deaths
ABRAAR ELEMENTARY SCHOOL,School,"",2020-10-02 00:00:00,,1,0,6,0,7,0
ADULT HIGH SCHOOL ESL CHILDCARE PROGRAM,Childcare,"",2020-10-04 00:00:00,,1,0,0,0,1,0
ALTA VISTA MANOR,LTCH,Facility-wide,2020-09-04 00:00:00,2020-09-18 00:00:00,1,0,0,0,1,0
AMICA WESTBORO PARK,RH,Facility-wide,2020-07-05 00:00:00,2020-07-14 00:00:00,0,0,1,0,1,0
ANDREW FLECK CHILDREN' SERVICES - 2020-10-05,Childcare,"",2020-10-05 00:00:00,,0,0,1,0,1,0
ANDREW FLECK CHILDREN SERVICES - ORLEANS,Childcare,"",2020-10-06 00:00:00,,1,0,0,0,1,0
ANDREW FLECK CHILDREN'S SERVICES - EDITH,Childcare,"",,,1,0,0,0,1,0
ANDREW FLECK CHILDREN'S SERVICES - HOME CHILDCARE,Childcare,"",2020-08-20 00:00:00,2020-09-14 00:00:00,2,0,1,0,3,0
ANDREW FLECK CHILDREN'S SERVICES - HOME CHILDCARE,Childcare,"",2020-09-09 00:00:00,2020-09-30 00:00:00,0,0,1,0,1,0
ANDREW FLECK CHILDREN'S SERVICES - KILBORN,Childcare,"",2020-10-07 00:00:00,,0,0,1,0,1,0
ASSOCIATION INTEGRATION SOCIALE D'OTTAWA,Other,Facility-wide,2020-04-24 00:00:00,2020-05-05 00:00:00,0,0,1,0,1,0
ASSOCIATION INTEGRATION SOCIALE D'OTTAWA - 2,Other,Facility-wide,2020-09-27 00:00:00,,4,0,11,0,15,0
ASSOCIATION INTEGRATION SOCIALE D'OTTAWA - 3,Other,Facility-wide,2020-09-29 00:00:00,,1,0,5,0,6,0
ASSOCIATION INTEGRATION SOCIALE D'OTTAWA - 4,Other,Facility-wide,2020-09-29 00:00:00,,0,0,3,0,3,0
ASSOCIATION INTEGRATION SOCIALE D'OTTAWA - 5,Other,Facility-wide,2020-09-29 00:00:00,,0,0,1,0,1,0
ASSOCIATION INTEGRATION SOCIALE D'OTTAWA - 6,Other,Facility-wide,2020-10-02 00:00:00,,,,,,,
ASSUMPTION SCHOOL,School,"",2020-09-23 00:00:00,2020-10-06 00:00:00,2,0,0,0,2,0
BAIRN CROFT -  MATHIEU WAY,Other,Facility-wide,2020-07-08 00:00:00,2020-07-22 00:00:00,0,0,1,0,1,0
BAIRN CROFT RESIDENTIAL SERVICES,Other,Facility-wide,2020-10-05 00:00:00,,2,0,1,0,3,0
BAIRN CROFT RESIDENTIAL SERVICES - FRENCH HILL RESIDENCE,Other,Facility-wide,2020-10-09 00:00:00,,0,0,4,0,4,0
BARRHAVEN MANOR,RH,Facility-wide,2020-04-17 00:00:00,2020-05-01 00:00:00,0,0,1,0,1,0
BEACON LEARNING CENTRE,Childcare,"",2020-08-31 00:00:00,2020-09-12 00:00:00,0,0,1,0,1,0
BERRIGAN PUBLIC SCHOOL,School,"",2020-10-06 00:00:00,2020-10-10 00:00:00,3,0,0,0,3,0
BILLINGSWOOD MANOR,RH,Facility-wide,2020-07-21 00:00:00,2020-08-12 00:00:00,2,0,0,0,2,0
BILLINGSWOOD MANOR,RH,Facility-wide,2020-08-16 00:00:00,2020-09-09 00:00:00,6,1,4,0,10,1
BRIDLEWOOD TRAILS,RH,Facility-wide,2020-10-06 00:00:00,,0,0,1,0,1,0
BRUYERE RESIDENCE,LTCH,Facility-wide,2020-07-29 00:00:00,2020-08-11 00:00:00,0,0,1,0,1,0
CARLETON LODGE,LTCH,Facility-wide,2020-07-23 00:00:00,2020-08-11 00:00:00,0,0,2,0,2,0
CARLING FAMILY SHELTER,Other,Facility-wide,2020-08-01 00:00:00,2020-08-25 00:00:00,8,0,0,0,8,0
CARLINGVIEW MANOR,LTCH,Facility-wide,2020-04-07 00:00:00,2020-06-18 00:00:00,170,60,89,0,259,60
CARLINGVIEW MANOR,LTCH,Facility-wide,2020-07-16 00:00:00,2020-07-23 00:00:00,,,,,,
CARLINGVIEW MANOR,LTCH,Facility-wide,2020-10-05 00:00:00,,0,0,1,0,1,0
CARLINGWOOD RETIREMENT COMMUNITY,RH,Facility-wide,2020-09-26 00:00:00,2020-10-06 00:00:00,,,,,,
CENTRE D'ACCUEIL CHAMPLAIN,LTCH,Facility-wide,2020-05-02 00:00:00,2020-05-13 00:00:00,0,0,1,0,1,0
CENTRE D'ACCUEIL CHAMPLAIN,LTCH,Facility-wide,2020-09-11 00:00:00,,0,0,7,0,7,0
CENTRE PARASCHOLAIRE ALPHA,Childcare,"",2020-10-05 00:00:00,,0,0,3,0,3,0
CENTREPOINTE HOME-BASED CHILDCARE,Childcare,"",2020-08-31 00:00:00,2020-09-13 00:00:00,4,0,0,0,4,0
CHAPEL HILL,RH,Facility-wide,2020-10-04 00:00:00,2020-10-11 00:00:00,0,0,1,0,1,0
CHAPEL HILL RETIREMENT,RH,Facility-wide,2020-05-05 00:00:00,2020-05-20 00:00:00,0,0,1,0,1,0
CHAPEL HILL RETIREMENT,RH,Facility-wide,2020-05-27 00:00:00,2020-06-10 00:00:00,0,0,1,0,1,0
CHILDREN'S VILLAGE OF OTTAWA CARLETON - HOME CHILDCARE (4),Childcare,"",2020-10-05 00:00:00,,0,0,1,0,1,0
CHILDRENS VILLAGE OF OTTAWA CARLETON - HOME DAYCARE,Childcare,"",2020-07-30 00:00:00,2020-08-08 00:00:00,0,0,2,0,2,0
CHILDREN'S VILLAGE OF OTTAWA CARLETON - HOME DAYCARE (3),Childcare,"",2020-09-22 00:00:00,2020-10-06 00:00:00,0,0,0,0,0,0
CHRISTIAN HORIZONS - OTTAWA 6,Other,Facility-wide,2020-08-20 00:00:00,2020-09-03 00:00:00,0,0,1,0,1,0
CHRISTIAN HORIZONS 9,Other,Facility-wide,2020-10-10 00:00:00,,0,0,1,0,1,0
CITE PARKWAY,RH,Facility-wide,2020-04-12 00:00:00,2020-05-01 00:00:00,0,0,2,0,2,0
CITE PARKWAY RETIREMENT RESIDENCE,RH,Facility-wide,2020-09-22 00:00:00,,7,0,0,0,7,0
CITY VIEW CENTER,Childcare,"",2020-09-15 00:00:00,2020-09-30 00:00:00,0,0,1,0,1,0
COLONEL BY,RH,Facility-wide,2020-10-06 00:00:00,,0,0,2,0,2,0
CUMBERLAND HUB DAY CARE,Childcare,"",2020-09-10 00:00:00,2020-09-23 00:00:00,1,0,0,0,1,0
DALHOUSIE PARENTS DAYCARE,Childcare,"",2020-10-02 00:00:00,,1,0,0,0,1,0
DOVERCOURT RECREATION CENTRE,Childcare,"",2020-08-28 00:00:00,2020-09-08 00:00:00,1,0,0,0,1,0
ECOLE ELEMENTAIRE CATHOLIQUE HORIZON-JEUNESSE,School,"",2020-10-04 00:00:00,,6,0,1,0,7,0
ECOLE ELEMENTAIRE CATHOLIQUE MONTFORT,School,"",2020-09-20 00:00:00,2020-10-05 00:00:00,1,0,1,0,2,0
ÉCOLE ÉLÉMENTAIRE CATHOLIQUE SAINTE-KATERI,School,"",2020-10-02 00:00:00,,2,0,0,0,2,0
ECOLE ELEMENTAIRE CATHOLIQUE SAINTE-MARIE,School,"",2020-10-06 00:00:00,,2,0,3,0,5,0
ÉCOLE ÉLÉMENTAIRE CATHOLIQUE SAINT-FRANÇOIS D'ASSISE,School,"",2020-10-05 00:00:00,2020-10-07 00:00:00,0,0,2,0,2,0
ECOLE ELEMENTAIRE PUBLIQUE SERAPHIN MARION,School,"",2020-09-23 00:00:00,,2,0,2,0,4,0
ECOLE LE TRANSIT LE CAP,School,"",2020-10-06 00:00:00,,1,0,1,0,2,0
ÉCOLE SECONDAIRE CATHOLIQUE FRANCO-CITÉ,School,"",2020-10-05 00:00:00,,12,0,0,0,12,0
ECOLE SECONDAIRE CATHOLIQUE GARNEAU,School,"",2020-10-06 00:00:00,,0,0,2,0,2,0
ECOLE SECONDAIRE PUBLIQUE LOUIS RIEL,School,"",2020-09-23 00:00:00,2020-10-01 00:00:00,2,0,0,0,2,0
ECOLE SECONDAIRE PUBLIQUE LOUIS RIEL,School,"",2020-10-06 00:00:00,,2,0,0,0,2,0
EDINBURGH RETIREMENT HOME,RH,Facility-wide,2020-10-06 00:00:00,,10,0,4,0,14,0
ELISABETH BRUYERE RESIDENCE,LTCH,Facility-wide,2020-04-16 00:00:00,2020-06-05 00:00:00,26,16,8,0,34,16
EMBASSY WEST,RH,Facility-wide,2020-05-16 00:00:00,2020-06-09 00:00:00,0,0,2,0,2,0
EMERGENCY HOUSING WEST,Other,Facility-wide,2020-09-07 00:00:00,,5,0,0,0,5,0
EMPRESS KANATA,RH,Facility-wide,2020-04-27 00:00:00,2020-06-06 00:00:00,28,4,18,0,46,4
EXTENDICARE MEDEX,LTCH,Facility-wide,2020-07-09 00:00:00,2020-07-23 00:00:00,1,0,1,0,2,0
EXTENDICARE MEDEX,LTCH,Facility-wide,2020-09-26 00:00:00,,2,0,1,0,3,0
Extendicare New Orchard Lodge,LTCH,Facility-wide,2020-09-22 00:00:00,,1,0,1,0,2,0
