Date,Number of Tests,Daily % Positivity,Number of Tests in LTCH,LTCH Daily % Positivity
2020-03-10 00:00:00,10,0.0,0,0.0
2020-03-11 00:00:00,32,3.1,0,0.0
2020-03-12 00:00:00,41,2.4,0,0.0
2020-03-13 00:00:00,64,3.1,1,0.0
2020-03-14 00:00:00,122,2.5,0,0.0
2020-03-15 00:00:00,96,1.0,0,0.0
2020-03-16 00:00:00,79,1.3,0,0.0
2020-03-17 00:00:00,131,0.0,4,0.0
2020-03-18 00:00:00,208,2.4,1,0.0
2020-03-19 00:00:00,117,1.7,8,0.0
2020-03-20 00:00:00,130,0.8,5,0.0
2020-03-21 00:00:00,206,1.5,3,0.0
2020-03-22 00:00:00,152,2.6,2,0.0
2020-03-23 00:00:00,143,2.1,2,0.0
2020-03-24 00:00:00,259,3.9,3,0.0
2020-03-25 00:00:00,150,4.0,2,0.0
2020-03-26 00:00:00,281,3.2,4,0.0
2020-03-27 00:00:00,572,3.1,6,0.0
2020-03-28 00:00:00,361,7.5,3,0.0
2020-03-29 00:00:00,200,5.5,0,0.0
2020-03-30 00:00:00,562,8.0,0,0.0
2020-03-31 00:00:00,933,5.9,0,0.0
2020-04-01 00:00:00,577,6.1,4,25.0
2020-04-02 00:00:00,99,9.1,9,0.0
2020-04-03 00:00:00,238,10.1,5,0.0
2020-04-04 00:00:00,317,2.8,3,0.0
2020-04-05 00:00:00,420,6.7,5,20.0
2020-04-06 00:00:00,235,11.9,4,25.0
2020-04-07 00:00:00,286,10.5,7,0.0
2020-04-08 00:00:00,368,4.3,6,33.3
2020-04-09 00:00:00,289,9.7,5,0.0
2020-04-10 00:00:00,331,8.8,8,0.0
2020-04-11 00:00:00,227,10.6,11,36.4
2020-04-12 00:00:00,227,10.1,12,50.0
2020-04-13 00:00:00,163,5.5,26,3.8
2020-04-14 00:00:00,208,6.7,18,16.7
2020-04-15 00:00:00,390,10.3,24,20.8
2020-04-16 00:00:00,310,3.5,11,0.0
2020-04-17 00:00:00,376,8.5,66,50.0
2020-04-18 00:00:00,421,6.2,8,0.0
2020-04-19 00:00:00,452,4.4,47,12.8
2020-04-20 00:00:00,325,5.2,43,2.3
2020-04-21 00:00:00,543,7.0,25,36.0
2020-04-22 00:00:00,654,2.4,122,10.7
2020-04-23 00:00:00,775,3.6,105,2.9
2020-04-24 00:00:00,518,4.1,94,10.6
2020-04-25 00:00:00,557,5.0,28,3.6
2020-04-26 00:00:00,359,5.0,81,1.2
2020-04-27 00:00:00,267,6.0,81,9.9
2020-04-28 00:00:00,503,6.2,11,27.3
2020-04-29 00:00:00,669,3.3,74,14.9
2020-04-30 00:00:00,603,4.1,5,40.0
2020-05-01 00:00:00,516,3.1,55,9.1
2020-05-02 00:00:00,509,5.1,27,3.7
2020-05-03 00:00:00,824,2.1,231,0.4
2020-05-04 00:00:00,639,1.1,24,12.5
2020-05-05 00:00:00,922,2.9,29,17.2
2020-05-06 00:00:00,599,1.7,149,1.3
2020-05-07 00:00:00,808,3.5,236,1.7
2020-05-08 00:00:00,733,1.0,131,4.6
2020-05-09 00:00:00,1088,1.6,180,2.8
2020-05-10 00:00:00,911,1.8,346,1.2
2020-05-11 00:00:00,483,1.0,198,1.5
2020-05-12 00:00:00,834,1.3,346,0.3
2020-05-13 00:00:00,1203,1.5,250,1.2
2020-05-14 00:00:00,1057,2.6,133,2.3
2020-05-15 00:00:00,1110,1.3,143,1.4
2020-05-16 00:00:00,965,1.3,25,4.0
2020-05-17 00:00:00,353,2.5,10,10.0
2020-05-18 00:00:00,376,4.0,17,5.9
2020-05-19 00:00:00,358,3.9,31,22.6
2020-05-20 00:00:00,676,3.0,36,5.6
2020-05-21 00:00:00,478,2.1,36,0.0
2020-05-22 00:00:00,516,0.6,14,0.0
2020-05-23 00:00:00,581,0.9,43,0.0
2020-05-24 00:00:00,331,1.5,25,4.0
2020-05-25 00:00:00,400,1.8,8,0.0
2020-05-26 00:00:00,1123,0.8,41,7.3
2020-05-27 00:00:00,1153,1.0,13,7.7
2020-05-28 00:00:00,1405,0.3,88,0.0
2020-05-29 00:00:00,1385,0.6,37,0.0
2020-05-30 00:00:00,1014,1.3,119,0.0
2020-05-31 00:00:00,1307,0.5,11,9.1
2020-06-01 00:00:00,763,0.1,20,0.0
2020-06-02 00:00:00,857,0.9,9,0.0
2020-06-03 00:00:00,1110,0.4,139,0.0
2020-06-04 00:00:00,1431,0.6,21,0.0
2020-06-05 00:00:00,1391,0.9,29,0.0
2020-06-06 00:00:00,1407,0.1,69,0.0
2020-06-07 00:00:00,871,0.2,22,0.0
2020-06-08 00:00:00,702,0.1,12,0.0
2020-06-09 00:00:00,1337,0.2,10,0.0
2020-06-10 00:00:00,1280,0.2,12,0.0
2020-06-11 00:00:00,1529,0.3,6,0.0
2020-06-12 00:00:00,1596,0.8,13,0.0
2020-06-13 00:00:00,1478,0.3,23,4.3
2020-06-14 00:00:00,767,0.0,13,0.0
2020-06-15 00:00:00,720,0.6,17,0.0
2020-06-16 00:00:00,1250,0.1,14,0.0
2020-06-17 00:00:00,1097,0.9,26,0.0
2020-06-18 00:00:00,1302,0.2,121,0.0
2020-06-19 00:00:00,1861,0.1,19,0.0
2020-06-20 00:00:00,1794,0.1,158,0.0
2020-06-21 00:00:00,1102,0.4,86,0.0
2020-06-22 00:00:00,510,0.4,10,0.0
2020-06-23 00:00:00,1251,0.2,20,0.0
2020-06-24 00:00:00,1733,0.3,24,0.0
2020-06-25 00:00:00,1796,0.3,22,4.5
2020-06-26 00:00:00,2028,0.2,23,0.0
2020-06-27 00:00:00,1573,0.1,80,0.0
2020-06-28 00:00:00,881,0.1,12,0.0
2020-06-29 00:00:00,855,0.4,8,0.0
2020-06-30 00:00:00,1604,0.4,11,0.0
2020-07-01 00:00:00,1601,0.3,15,0.0
2020-07-02 00:00:00,1012,0.2,12,0.0
2020-07-03 00:00:00,1332,0.3,14,0.0
2020-07-04 00:00:00,1258,0.2,40,0.0
2020-07-05 00:00:00,736,0.4,46,0.0
2020-07-06 00:00:00,601,0.0,10,0.0
2020-07-07 00:00:00,1271,0.4,21,0.0
2020-07-08 00:00:00,1684,0.3,39,0.0
2020-07-09 00:00:00,1505,0.3,41,0.0
2020-07-10 00:00:00,1900,0.7,14,7.1
2020-07-11 00:00:00,1571,0.4,25,0.0
2020-07-12 00:00:00,1068,0.8,13,0.0
2020-07-13 00:00:00,807,0.6,65,0.0
2020-07-14 00:00:00,1406,0.4,66,0.0
2020-07-15 00:00:00,1406,0.8,45,0.0
2020-07-16 00:00:00,1694,0.7,25,4.0
2020-07-17 00:00:00,1784,0.7,21,0.0
2020-07-18 00:00:00,1559,0.7,81,0.0
2020-07-19 00:00:00,2016,2.1,22,0.0
2020-07-20 00:00:00,1548,1.5,35,2.9
2020-07-21 00:00:00,1428,1.6,15,0.0
2020-07-22 00:00:00,1763,0.9,16,0.0
2020-07-23 00:00:00,1668,1.0,32,0.0
2020-07-24 00:00:00,2035,1.2,83,0.0
2020-07-25 00:00:00,2126,0.8,319,0.0
2020-07-26 00:00:00,1816,1.2,73,0.0
2020-07-27 00:00:00,1601,0.9,23,0.0
2020-07-28 00:00:00,1488,0.7,24,0.0
2020-07-29 00:00:00,2255,0.6,53,0.0
2020-07-30 00:00:00,1889,0.9,134,0.0
2020-07-31 00:00:00,2131,0.8,207,0.0
2020-08-01 00:00:00,1630,0.6,83,1.2
2020-08-02 00:00:00,1341,0.2,11,0.0
2020-08-03 00:00:00,1108,1.1,48,0.0
2020-08-04 00:00:00,1651,0.6,12,0.0
2020-08-05 00:00:00,1582,0.5,70,0.0
2020-08-06 00:00:00,1638,0.2,10,0.0
2020-08-07 00:00:00,1690,0.0,39,0.0
2020-08-08 00:00:00,1519,0.7,95,0.0
2020-08-09 00:00:00,1588,0.4,102,0.0
2020-08-10 00:00:00,1385,0.6,27,0.0
2020-08-11 00:00:00,1458,0.3,41,0.0
2020-08-12 00:00:00,1487,0.3,7,0.0
2020-08-13 00:00:00,1691,0.5,56,0.0
2020-08-14 00:00:00,1882,0.5,35,0.0
2020-08-15 00:00:00,2043,0.7,21,0.0
2020-08-16 00:00:00,1196,0.5,22,0.0
2020-08-17 00:00:00,1357,0.7,32,0.0
2020-08-18 00:00:00,1888,0.6,77,5.2
2020-08-19 00:00:00,1519,1.2,25,4.0
2020-08-20 00:00:00,1607,1.0,103,0.0
2020-08-21 00:00:00,1803,0.7,116,0.9
2020-08-22 00:00:00,1865,0.6,73,0.0
2020-08-23 00:00:00,680,1.8,5,0.0
2020-08-24 00:00:00,1132,1.0,59,0.0
2020-08-25 00:00:00,1648,1.5,73,0.0
2020-08-26 00:00:00,1825,0.4,39,0.0
2020-08-27 00:00:00,1465,0.5,8,0.0
2020-08-28 00:00:00,2129,0.7,35,0.0
2020-08-29 00:00:00,1780,0.7,11,9.1
2020-08-30 00:00:00,1396,0.4,32,0.0
2020-08-31 00:00:00,1376,0.5,54,0.0
2020-09-01 00:00:00,1350,1.6,21,9.5
2020-09-02 00:00:00,1527,0.3,49,0.0
2020-09-03 00:00:00,1475,0.9,133,0.8
2020-09-04 00:00:00,2703,0.9,259,0.8
2020-09-05 00:00:00,2252,0.4,163,0.0
2020-09-06 00:00:00,1281,0.6,190,3.2
2020-09-07 00:00:00,1290,1.5,44,0.0
2020-09-08 00:00:00,1094,1.1,4,0.0
2020-09-09 00:00:00,1588,1.5,29,0.0
