Date,"Number of Tests, Excluding LTCH","Daily % Positivity, Excluding LTCH",Number of Tests in LTCH,LTCH Daily % Positivity
2020-03-10 00:00:00,10,0.0,0,0.0
2020-03-11 00:00:00,32,3.1,0,0.0
2020-03-12 00:00:00,41,2.4,0,0.0
2020-03-13 00:00:00,64,3.1,0,0.0
2020-03-14 00:00:00,123,1.6,0,0.0
2020-03-15 00:00:00,95,1.1,0,0.0
2020-03-16 00:00:00,76,1.3,0,0.0
2020-03-17 00:00:00,135,0.0,4,0.0
2020-03-18 00:00:00,209,2.4,1,0.0
2020-03-19 00:00:00,105,2.9,7,0.0
2020-03-20 00:00:00,140,0.7,5,0.0
2020-03-21 00:00:00,212,1.4,4,0.0
2020-03-22 00:00:00,150,1.3,2,0.0
2020-03-23 00:00:00,144,3.5,2,0.0
2020-03-24 00:00:00,255,3.9,4,0.0
2020-03-25 00:00:00,153,4.6,2,0.0
2020-03-26 00:00:00,277,2.5,4,0.0
2020-03-27 00:00:00,576,3.0,4,0.0
2020-03-28 00:00:00,362,7.5,3,0.0
2020-03-29 00:00:00,199,5.0,0,0.0
2020-03-30 00:00:00,563,9.1,0,0.0
2020-03-31 00:00:00,933,6.0,0,0.0
2020-04-01 00:00:00,578,5.4,4,25.0
2020-04-02 00:00:00,99,9.1,9,0.0
2020-04-03 00:00:00,239,10.5,4,0.0
2020-04-04 00:00:00,311,2.3,3,0.0
2020-04-05 00:00:00,423,6.6,5,20.0
2020-04-06 00:00:00,235,11.9,4,25.0
2020-04-07 00:00:00,286,10.5,6,0.0
2020-04-08 00:00:00,370,4.6,6,33.3
2020-04-09 00:00:00,290,9.7,5,0.0
2020-04-10 00:00:00,331,8.8,8,0.0
2020-04-11 00:00:00,226,10.6,11,36.4
2020-04-12 00:00:00,227,10.1,11,54.5
2020-04-13 00:00:00,165,5.5,26,3.8
2020-04-14 00:00:00,205,5.9,18,16.7
2020-04-15 00:00:00,394,10.7,25,20.0
2020-04-16 00:00:00,309,3.6,11,0.0
2020-04-17 00:00:00,376,8.5,66,50.0
2020-04-18 00:00:00,421,6.2,8,0.0
2020-04-19 00:00:00,453,4.4,47,12.8
2020-04-20 00:00:00,325,5.2,43,2.3
2020-04-21 00:00:00,543,7.0,25,36.0
2020-04-22 00:00:00,655,2.4,122,10.7
2020-04-23 00:00:00,777,3.6,105,2.9
2020-04-24 00:00:00,515,4.1,94,10.6
2020-04-25 00:00:00,557,5.0,28,3.6
2020-04-26 00:00:00,358,5.0,81,1.2
2020-04-27 00:00:00,270,6.3,80,10.0
2020-04-28 00:00:00,503,6.2,11,27.3
2020-04-29 00:00:00,669,3.3,74,14.9
2020-04-30 00:00:00,602,4.0,6,33.3
2020-05-01 00:00:00,517,3.1,55,9.1
2020-05-02 00:00:00,508,4.9,27,3.7
2020-05-03 00:00:00,835,2.2,233,0.4
2020-05-04 00:00:00,628,1.1,24,12.5
2020-05-05 00:00:00,923,2.9,29,17.2
2020-05-06 00:00:00,597,1.7,149,1.3
2020-05-07 00:00:00,811,3.5,236,1.7
2020-05-08 00:00:00,743,0.9,133,4.5
2020-05-09 00:00:00,1072,1.6,176,2.8
2020-05-10 00:00:00,916,1.7,355,1.1
2020-05-11 00:00:00,482,1.2,192,1.6
2020-05-12 00:00:00,823,1.2,341,0.3
2020-05-13 00:00:00,1217,1.5,259,1.2
2020-05-14 00:00:00,1026,2.7,142,2.1
2020-05-15 00:00:00,1117,1.3,147,1.4
2020-05-16 00:00:00,965,1.3,25,4.0
2020-05-17 00:00:00,351,2.6,10,10.0
2020-05-18 00:00:00,377,4.0,17,5.9
2020-05-19 00:00:00,359,3.9,31,22.6
2020-05-20 00:00:00,675,3.0,36,5.6
2020-05-21 00:00:00,479,2.1,36,0.0
2020-05-22 00:00:00,513,0.6,14,0.0
2020-05-23 00:00:00,582,0.9,43,0.0
2020-05-24 00:00:00,331,1.5,25,4.0
2020-05-25 00:00:00,400,1.8,8,0.0
2020-05-26 00:00:00,1125,0.8,41,7.3
2020-05-27 00:00:00,1151,1.0,13,7.7
2020-05-28 00:00:00,1398,0.3,88,0.0
2020-05-29 00:00:00,1391,0.6,37,0.0
2020-05-30 00:00:00,1015,1.3,119,0.0
2020-05-31 00:00:00,1308,0.5,11,9.1
2020-06-01 00:00:00,762,0.1,20,0.0
2020-06-02 00:00:00,859,1.0,9,0.0
2020-06-03 00:00:00,1110,0.4,139,0.0
2020-06-04 00:00:00,1432,0.6,21,0.0
2020-06-05 00:00:00,1394,0.9,28,0.0
2020-06-06 00:00:00,1412,0.1,69,0.0
2020-06-07 00:00:00,870,0.2,22,0.0
2020-06-08 00:00:00,702,0.1,12,0.0
2020-06-09 00:00:00,1338,0.2,10,0.0
2020-06-10 00:00:00,1280,0.2,12,0.0
2020-06-11 00:00:00,1529,0.3,6,0.0
2020-06-12 00:00:00,1595,0.8,13,0.0
2020-06-13 00:00:00,1480,0.3,23,4.3
2020-06-14 00:00:00,767,0.0,13,0.0
2020-06-15 00:00:00,720,0.6,17,0.0
2020-06-16 00:00:00,1250,0.1,14,0.0
2020-06-17 00:00:00,1097,0.9,26,0.0
2020-06-18 00:00:00,1297,0.2,121,0.0
2020-06-19 00:00:00,1865,0.1,19,0.0
2020-06-20 00:00:00,1791,0.1,158,0.0
2020-06-21 00:00:00,1102,0.4,86,0.0
2020-06-22 00:00:00,507,0.4,10,0.0
2020-06-23 00:00:00,1251,0.2,20,0.0
2020-06-24 00:00:00,1733,0.3,24,0.0
2020-06-25 00:00:00,1797,0.3,21,4.8
2020-06-26 00:00:00,2026,0.2,23,0.0
2020-06-27 00:00:00,1573,0.1,80,0.0
2020-06-28 00:00:00,880,0.1,12,0.0
2020-06-29 00:00:00,855,0.4,8,0.0
2020-06-30 00:00:00,1605,0.4,11,0.0
2020-07-01 00:00:00,1601,0.3,15,0.0
2020-07-02 00:00:00,1012,0.2,12,0.0
2020-07-03 00:00:00,1332,0.3,14,0.0
2020-07-04 00:00:00,1259,0.2,40,0.0
2020-07-05 00:00:00,735,0.4,46,0.0
2020-07-06 00:00:00,602,0.0,10,0.0
2020-07-07 00:00:00,1270,0.4,21,0.0
2020-07-08 00:00:00,1685,0.3,39,0.0
2020-07-09 00:00:00,1504,0.3,41,0.0
2020-07-10 00:00:00,1900,0.7,14,7.1
2020-07-11 00:00:00,1571,0.4,25,0.0
2020-07-12 00:00:00,1068,0.8,13,0.0
2020-07-13 00:00:00,807,0.6,65,0.0
2020-07-14 00:00:00,1406,0.4,66,0.0
2020-07-15 00:00:00,1405,0.8,45,0.0
2020-07-16 00:00:00,1695,0.7,24,4.2
2020-07-17 00:00:00,1785,0.7,21,0.0
2020-07-18 00:00:00,1560,0.7,81,0.0
2020-07-19 00:00:00,2017,2.1,22,0.0
2020-07-20 00:00:00,1548,1.4,35,2.9
2020-07-21 00:00:00,1428,1.7,15,0.0
2020-07-22 00:00:00,1761,0.9,16,0.0
2020-07-23 00:00:00,1667,1.0,32,0.0
2020-07-24 00:00:00,2036,1.2,83,0.0
2020-07-25 00:00:00,2126,0.8,318,0.0
2020-07-26 00:00:00,1815,1.2,72,0.0
2020-07-27 00:00:00,1600,0.9,24,0.0
2020-07-28 00:00:00,1488,0.7,24,0.0
2020-07-29 00:00:00,2255,0.6,53,0.0
2020-07-30 00:00:00,1889,0.9,134,0.0
2020-07-31 00:00:00,2130,0.8,207,0.0
2020-08-01 00:00:00,1630,0.6,83,1.2
2020-08-02 00:00:00,1339,0.1,11,0.0
2020-08-03 00:00:00,1098,1.1,48,0.0
2020-08-04 00:00:00,1659,0.5,12,0.0
2020-08-05 00:00:00,1584,0.6,70,0.0
2020-08-06 00:00:00,1639,0.3,10,0.0
2020-08-07 00:00:00,1690,0.0,39,0.0
2020-08-08 00:00:00,1519,0.7,95,0.0
2020-08-09 00:00:00,1588,0.4,102,0.0
2020-08-10 00:00:00,1386,0.6,27,0.0
2020-08-11 00:00:00,1459,0.3,41,0.0
2020-08-12 00:00:00,1488,0.3,7,0.0
2020-08-13 00:00:00,1688,0.5,56,0.0
2020-08-14 00:00:00,1881,0.5,37,0.0
2020-08-15 00:00:00,2043,0.7,21,0.0
2020-08-16 00:00:00,1196,0.5,22,0.0
2020-08-17 00:00:00,1355,0.7,32,0.0
2020-08-18 00:00:00,1888,0.6,77,5.2
2020-08-19 00:00:00,1520,1.2,25,4.0
2020-08-20 00:00:00,1606,1.0,103,0.0
2020-08-21 00:00:00,1802,0.7,116,0.9
2020-08-22 00:00:00,1865,0.6,73,0.0
2020-08-23 00:00:00,680,1.8,5,0.0
2020-08-24 00:00:00,1131,1.0,59,0.0
2020-08-25 00:00:00,1649,1.5,73,0.0
2020-08-26 00:00:00,1826,0.4,39,0.0
2020-08-27 00:00:00,1462,0.5,8,0.0
2020-08-28 00:00:00,2129,0.7,35,0.0
2020-08-29 00:00:00,1781,0.7,11,9.1
2020-08-30 00:00:00,1397,0.4,32,0.0
2020-08-31 00:00:00,1362,0.5,54,0.0
2020-09-01 00:00:00,1362,1.5,21,9.5
2020-09-02 00:00:00,1529,0.3,50,0.0
2020-09-03 00:00:00,1477,0.9,133,0.8
2020-09-04 00:00:00,2700,0.9,257,0.8
2020-09-05 00:00:00,2252,0.4,164,0.0
2020-09-06 00:00:00,1281,0.6,190,3.2
2020-09-07 00:00:00,1290,1.5,44,0.0
2020-09-08 00:00:00,1095,1.3,4,0.0
