Week,"Weekly Rate for 0 to 19 Years (per 100,000 pop) by Episode Date","Weekly Rate for 20 to 39 Years (per 100,000 pop) by Episode Date","Weekly Rate for 40 to 59 Years (per 100,000 pop) by Episode Date","Weekly Rate for 60 to 79 Years (per 100,000 pop) by Episode Date","Weekly Rate for 80+ Years (per 100,00 pop) by Episode Date",Weekly Total of Cases by Episode Date,Weekly Total of Cases by Reported Date,Weekly Rate for Cases by Reported Date
2020-02-16 00:00:00,,,1.430758445051722,,,2,,
2020-02-23 00:00:00,,0.631875596332594,,0.8409509473312422,,2,,
2020-03-01 00:00:00,,4.397783410832372,7.338438227604287,4.6833957714840855,,22,,
2020-03-08 00:00:00,0.8830567893821251,14.393737016422838,29.353752910417153,18.84991420826085,14.907573047107931,88,9,0.8533588203167667
2020-03-15 00:00:00,1.7661135787642501,30.10191675250246,42.151444914877345,33.61140480219001,32.17259141604152,148,20,1.8963529340372596
2020-03-22 00:00:00,4.441541261899573,25.021566218345914,37.06465635619104,36.13425764418374,54.776569716222355,141,104,9.86103525699375
2020-03-29 00:00:00,5.377112681259593,31.85814184227342,31.951489797169632,36.25058876650825,75.02310269457753,149,220,20.859882274409856
2020-04-05 00:00:00,13.377138415676617,24.44038214900489,42.998714139078686,36.975208591514985,310.7703306408047,203,224,21.239152861217306
2020-04-12 00:00:00,8.935597153777042,34.34762558236011,40.72068646982562,59.30525771142534,519.0598578146419,261,268,25.411129316099277
2020-04-19 00:00:00,4.441541261899573,34.55039169032639,56.80194336975078,88.82823889928349,898.6125982740645,342,281,26.643758723223495
2020-04-26 00:00:00,12.52033894128344,31.94685201450867,40.00530724729977,40.455343503164464,454.7146749825588,225,363,34.41880575277626
2020-05-03 00:00:00,6.260169470641718,12.498110227425054,23.287805125854007,29.16067127535493,298.2202029155224,131,150,14.222647005279448
2020-05-10 00:00:00,8.00002573441702,24.93285604611066,21.062533457271133,22.92502127706271,172.02611440173993,126,134,12.705564658049639
2020-05-17 00:00:00,3.5584844725174483,22.45604518777185,10.279089118713022,12.484616542114278,69.06007347573434,78,105,9.955852903695613
2020-05-24 00:00:00,4.46779857688852,11.234359034759867,8.027439449795052,9.961763700120551,26.209562197198352,49,64,6.0683293889192305
2020-05-31 00:00:00,4.441541261899573,8.151018343584257,5.802167781212178,1.6819018946624844,83.34357723524636,42,56,5.3097882153043265
2020-06-07 00:00:00,1.8186282087421457,10.615156320175169,10.173577117372636,3.8424448241528433,11.301989150090415,38,35,3.318617634565204
2020-06-14 00:00:00,2.675427683135323,8.732202412925277,4.371409336160456,3.001493876821601,,26,22,2.0859882274409856
2020-06-21 00:00:00,5.324598051281698,10.640502083670953,5.113166559021414,1.3195919821591164,2.9815146094215863,32,29,2.7497117543540264
2020-06-28 00:00:00,4.415283946910625,8.08765393484479,5.113166559021414,0.8409509473312422,14.283503759512001,28,29,2.7497117543540264
2020-07-05 00:00:00,9.818653943159166,16.251345160176943,12.31971478495022,5.16203680631196,,59,40,3.792705868074519
2020-07-12 00:00:00,30.312761303870673,45.40456427264946,33.54051624423193,9.004481630464802,5.963029218843173,164,73,6.921688209235998
2020-07-19 00:00:00,42.911872190120945,39.30124729903769,24.13507435005535,7.56855852598118,,153,201,19.058346987074458
2020-07-26 00:00:00,24.105106463206855,31.21359336419293,9.431819894511678,12.368285419789771,20.246532978355177,107,129,12.231476424540324
2020-08-02 00:00:00,22.391507514420503,15.025612612755436,8.69006267165072,5.16203680631196,,66,78,7.395776442745312
2020-08-09 00:00:00,19.663565201307282,19.334685851352553,11.630713562759455,4.321085858980718,,73,65,6.163147035621094
2020-08-16 00:00:00,31.195818093252797,33.677731340783836,22.440535901652662,9.72910145547154,25.585492909602415,134,128,12.136658777838461
2020-08-23 00:00:00,27.55856167576851,29.89915064453617,24.187830350725545,15.964751453763752,22.60397830018083,129,118,11.18848231081983
2020-08-30 00:00:00,30.39153324883752,39.28857441728983,22.04169268314796,26.767466101215554,83.96764652284227,169,125,11.852205837732871
2020-09-06 00:00:00,53.45603903272852,85.42639734025498,45.303119808666835,42.02091427550245,72.04158808515595,314,234,22.187329328235936
2020-09-13 00:00:00,106.52791026086504,117.75166731613835,65.06678482256169,35.40963781917701,78.00461730399908,445,324,30.720917531403604
2020-09-20 00:00:00,127.07453225155444,177.00680318111364,106.66111851692344,52.823628922954256,132.78118702022144,649,453,42.952393955943926
2020-09-27 00:00:00,109.79756426850405,166.42966550618203,117.49731885615171,66.39517520257866,165.43901589530083,640,648,61.44183506280721
2020-10-04 00:00:00,118.65438947731421,119.21818461676976,98.71281306813376,49.589472801483645,261.33272085582945,553,726,68.83761150555252
2020-10-11 00:00:00,98.80702307108426,91.06258618025677,93.89297772627671,56.303763834603735,120.85512858253507,462,615,58.312852721645726
2020-10-18 00:00:00,57.06703813522386,45.645349025859424,61.252486706916514,41.77493548532358,301.201717524944,309,490,46.46064688391286
