Week,"Weekly Rate for 0 to 19 Years (per 100,000 pop) by Episode Date","Weekly Rate for 20 to 39 Years (per 100,000 pop) by Episode Date","Weekly Rate for 40 to 59 Years (per 100,000 pop) by Episode Date","Weekly Rate for 60 to 79 Years (per 100,000 pop) by Episode Date","Weekly Rate for 80+ Years (per 100,00 pop) by Episode Date",Weekly Total of Cases by Episode Date,Weekly Total of Cases by Reported Date,Weekly Rate for Cases by Reported Date,Count for 0-19 Years by Episode Date,Count for 20-39 Years by Episode Date,Count for 40-59 Years by Episode Date,Count for 60-79 Years by Episode Date,Count for 80+ Years by Episode Date
2020-02-16 0:00,,,1.4,,,2,,,0,0,2,0,0
2020-02-23 0:00,,0.6,,0.8,,2,,,0,1,0,1,0
2020-03-01 0:00,,4.4,7.3,4.7,,22,,,0,7,10,5,0
2020-03-08 0:00,0.9,14.4,29.4,18.8,14.9,88,9,0.9,1,23,40,19,5
2020-03-15 0:00,1.8,30.1,42.2,33.6,32.2,148,20,1.9,2,48,58,32,8
2020-03-22 0:00,4.4,25,37.1,36.1,54.8,141,104,9.9,5,40,51,35,10
2020-03-29 0:00,5.4,31.9,32,36.3,75,149,220,20.9,6,51,44,34,14
2020-04-05 0:00,13.4,24.4,43,37,310.8,203,224,21.2,15,39,59,36,54
2020-04-12 0:00,8.9,34.3,40.7,59.3,519.1,261,268,25.4,10,55,56,58,82
2020-04-19 0:00,4.4,34.6,56.8,88.8,898.6,342,281,26.6,5,55,78,84,120
2020-04-26 0:00,12.5,31.9,40,40.5,454.7,225,363,34.4,14,51,55,39,66
2020-05-03 0:00,6.3,12.5,23.3,29.2,298.2,131,150,14.2,7,20,32,25,47
2020-05-10 0:00,8,24.9,21.1,22.9,172,126,134,12.7,9,40,29,21,27
2020-05-17 0:00,3.6,22.5,10.3,12.5,69.1,78,105,10,4,36,14,12,12
2020-05-24 0:00,4.5,11.2,8,10,26.2,49,64,6.1,5,18,11,9,6
2020-05-31 0:00,4.4,8.2,5.8,1.7,83.3,42,56,5.3,5,13,8,2,14
2020-06-07 0:00,1.8,10.6,10.2,3.8,11.3,38,35,3.3,2,17,14,4,1
2020-06-14 0:00,2.7,8.7,4.4,3,,26,22,2.1,3,14,6,3,0
2020-06-21 0:00,5.3,10.6,5.1,1.3,3,32,29,2.7,6,17,7,1,1
2020-06-28 0:00,4.4,8.1,5.1,0.8,14.3,28,29,2.7,5,13,7,1,2
2020-07-05 0:00,9.8,16.3,12.3,5.2,,59,40,3.8,11,26,17,5,0
2020-07-12 0:00,30.3,45.4,33.5,9,6,164,73,6.9,34,73,46,9,2
2020-07-19 0:00,42.9,39.3,24.1,7.6,,153,201,19.1,48,63,33,9,0
2020-07-26 0:00,24.1,30.6,9.4,12.4,20.2,106,128,12.1,27,49,13,13,4
2020-08-02 0:00,22.4,15,8.7,5.2,,66,78,7.4,25,24,12,5,0
2020-08-09 0:00,19.7,19.3,11.6,4.3,,73,65,6.2,22,31,16,4,0
2020-08-16 0:00,31.2,33.7,22.4,9.7,25.6,134,128,12.1,35,54,31,11,3
2020-08-23 0:00,27.6,29.9,24.2,16,22.6,129,118,11.2,31,48,33,15,2
2020-08-30 0:00,30.4,39.3,22.8,26.8,84,170,125,11.9,34,63,31,25,17
2020-09-06 0:00,53.5,86,45.3,42,72,315,234,22.2,60,138,62,42,13
2020-09-13 0:00,107.4,122.7,68,37.9,78,461,324,30.7,120,197,93,36,15
2020-09-20 0:00,130.6,183.2,110.3,53.7,132.8,669,453,43,146,294,151,53,25
2020-09-27 0:00,110.7,170.2,120.4,71.6,171.4,658,647,61.3,124,273,165,72,24
2020-10-04 0:00,117.7,112.3,99.5,52.6,272.6,546,722,68.5,132,180,136,54,44
2020-10-11 0:00,103.2,93,103.4,62.1,109.6,486,613,58.1,116,149,142,59,20
2020-10-18 0:00,94.6,81.3,90.4,69.2,461.3,499,503,47.7,106,130,124,68,71
2020-10-25 0:00,86.5,86.2,69.1,69.6,580.9,480,571,54.1,97,138,95,64,86
2020-11-01 0:00,83,64.4,68.5,36.5,221.5,364,395,37.5,93,103,94,36,38
2020-11-08 0:00,42.9,30.5,29.1,14.2,160.7,177,313,29.7,48,49,40,14,26
