collected_date,reported_date,current_schools_w_cases,current_schools_closed,current_total_number_schools,new_total_school_related_cases,new_school_related_student_cases,new_school_related_staff_cases,new_school_related_unspecified_cases,recent_total_school_related_cases,recent_school_related_student_cases,recent_school_related_staff_cases,recent_school_related_unspecified_cases,past_total_school_related_cases,past_school_related_student_cases,past_school_related_staff_cases,past_school_related_unspecified_cases,cumulative_school_related_cases,cumulative_school_related_student_cases,cumulative_school_related_staff_cases,cumulative_school_related_unspecified_cases,
2020-09-10,2020-09-11,13,0,4828,0,0,0,,,,,,,,,,13,4,9,,
2020-09-11,2020-09-14,15,0,4828,2,1,1,,,,,,,,,,15,5,10,,
2020-09-14,2020-09-15,27,0,4828,14,4,4,6,,,,,,,,,29,9,14,6,
2020-09-15,2020-09-16,35,0,4828,12,6,4,2,,,,,,,,,41,15,18,8,
2020-09-16,2020-09-17,51,1,4828,21,5,4,12,,,,,,,,,62,20,22,20,
2020-09-17,2020-09-18,60,1,4828,11,5,0,6,,,,,,,,,72,25,22,25,
2020-09-18,2020-09-21,75,1,4828,18,8,4,6,,,,,,,,,90,33,26,31,
2020-09-21,2020-09-22,116,2,4828,51,26,7,18,,,,,,,,,141,59,33,49,
2020-09-22,2020-09-23,153,2,4828,42,21,5,16,,,,,,,,,180,77,38,65,
2020-09-23,2020-09-24,178,2,4828,31,24,3,4,,,,,,,,,210,101,40,69,
2020-09-24,2020-09-25,198,2,4828,29,10,10,9,,,,,,,,,238,110,50,78,
2020-09-25,2020-09-28,224,1,4828,36,27,3,6,,,,,,,,,272,137,52,83,
2020-09-28,2020-09-29,249,1,4828,63,37,7,19,,,,,,,,,307,164,44,99,
2020-09-29,2020-09-30,282,3,4828,52,32,8,12,,,,,,,,,342,188,48,106,
2020-09-30,2020-10-01,306,3,4828,64,29,14,21,386,212,59,115,61,21,23,17,447,233,82,132,
2020-10-01,2020-10-02,318,3,4828,36,29,2,5,411,236,61,114,72,26,23,23,483,262,84,137,
2020-10-02,2020-10-05,335,3,4828,56,31,8,17,449,259,65,125,90,34,27,29,539,293,92,154,
2020-10-05,2020-10-06,347,2,4828,74,41,10,23,470,275,66,129,141,58,36,47,611,333,102,177,
2020-10-06,2020-10-07,379,2,4828,111,69,15,27,541,325,75,141,181,77,42,62,722,402,117,203,
2020-10-07,2020-10-08,415,2,4828,100,51,22,27,611,352,95,164,211,101,44,66,822,453,139,230,
2020-10-08,2020-10-09,429,4,4828,56,32,9,15,628,369,94,165,248,113,55,80,876,482,149,245,
2020-10-09,2020-10-13,436,3,4828,72,49,8,15,661,390,100,171,287,141,57,89,948,531,157,260,
2020-10-13,2020-10-14,421,5,4828,96,51,13,32,645,376,95,174,395,204,73,118,1040,580,168,292,
