date,category_grouped,outbreak_subgroup,TOTAL_CASES
03/06/2020,2 Congregate Living,Shelter,1
03/08/2020,1 Congregate Care,Long-Term Care Home,1
03/09/2020,4 Workplace,Workplace - Other,1
03/11/2020,2 Congregate Living,Group Home/Supportive Housing,1
03/12/2020,1 Congregate Care,Long-Term Care Home,1
03/13/2020,1 Congregate Care,Long-Term Care Home,1
03/14/2020,4 Workplace,Workplace - Other,1
03/15/2020,4 Workplace,Workplace - Other,1
03/17/2020,1 Congregate Care,Long-Term Care Home,2
03/18/2020,4 Workplace,Workplace - Other,2
03/19/2020,1 Congregate Care,Long-Term Care Home,5
03/19/2020,1 Congregate Care,Retirement Home,1
03/19/2020,2 Congregate Living,Group Home/Supportive Housing,1
03/20/2020,1 Congregate Care,Long-Term Care Home,13
03/21/2020,1 Congregate Care,Long-Term Care Home,9
03/21/2020,2 Congregate Living,Group Home/Supportive Housing,1
03/22/2020,1 Congregate Care,Hospital,1
03/22/2020,1 Congregate Care,Long-Term Care Home,10
03/22/2020,2 Congregate Living,Group Home/Supportive Housing,1
03/22/2020,4 Workplace,Workplace - Other,2
03/23/2020,1 Congregate Care,Hospital,6
03/23/2020,1 Congregate Care,Long-Term Care Home,11
03/23/2020,2 Congregate Living,Group Home/Supportive Housing,1
03/24/2020,1 Congregate Care,Hospital,3
03/24/2020,1 Congregate Care,Long-Term Care Home,14
03/24/2020,1 Congregate Care,Retirement Home,1
03/24/2020,2 Congregate Living,Group Home/Supportive Housing,1
03/24/2020,4 Workplace,Medical/Health Service,2
03/24/2020,4 Workplace,Workplace - Other,1
03/25/2020,1 Congregate Care,Hospital,2
03/25/2020,1 Congregate Care,Long-Term Care Home,13
03/25/2020,1 Congregate Care,Retirement Home,1
03/25/2020,2 Congregate Living,Group Home/Supportive Housing,1
03/25/2020,4 Workplace,Workplace - Other,1
03/26/2020,1 Congregate Care,Hospital,4
03/26/2020,1 Congregate Care,Long-Term Care Home,6
03/26/2020,1 Congregate Care,Retirement Home,2
03/26/2020,4 Workplace,Workplace - Other,6
03/27/2020,1 Congregate Care,Hospital,8
03/27/2020,1 Congregate Care,Long-Term Care Home,14
03/27/2020,1 Congregate Care,Retirement Home,4
03/27/2020,2 Congregate Living,Group Home/Supportive Housing,1
03/27/2020,4 Workplace,Medical/Health Service,1
03/27/2020,4 Workplace,Workplace - Other,3
03/28/2020,1 Congregate Care,Hospital,6
03/28/2020,1 Congregate Care,Long-Term Care Home,17
03/28/2020,1 Congregate Care,Retirement Home,6
03/28/2020,2 Congregate Living,Group Home/Supportive Housing,2
03/28/2020,4 Workplace,Workplace - Other,2
03/29/2020,1 Congregate Care,Hospital,11
03/29/2020,1 Congregate Care,Long-Term Care Home,19
