Régions sociosanitaires;25 octobre;26 octobre;27 octobre;28 octobre;29 octobre;30 octobre;31 octobre;Total des cas de la semaine du 25 au 31 octobre 2020
01 - Bas-Saint-Laurent;7;6;12;4;1;4;3;37
02 - Saguenay – Lac-Saint-Jean;47;39;19;51;52;78;67;353
03 - Capitale-Nationale;91;129;59;119;76;49;80;603
04 - Mauricie-et-Centre-du-Québec;50;49;69;87;82;100;85;522
05 - Estrie;26;36;26;21;46;40;27;222
06 - Montréal;207;319;254;245;195;233;247;1700
07 - Outaouais;15;24;43;40;32;58;35;247
08 - Abitibi-Témiscamingue;-1;0;0;1;0;1;-1;0
09 - Côte-Nord;0;1;-1;1;-1;1;0;1
10 - Nord-du-Québec;0;1;1;-2;0;0;0;0
11 - Gaspésie – Îles-de-la-Madeleine;20;14;17;15;16;27;11;120
12 - Chaudière-Appalaches;61;66;85;66;65;71;50;464
13 - Laval;32;31;56;67;61;57;52;356
14 - Lanaudière;80;80;101;130;109;137;118;755
15 - Laurentides;47;44;42;33;65;44;51;326
16 - Montérégie;127;122;146;151;151;165;138;1000
17 - Nunavik;0;0;0;0;0;0;0;0
18 - Terres-Cries-de-la-Baie-James;0;0;0;0;0;0;0;0
Hors Québec;-1;2;0;1;2;-1;2;5
Région à déterminer;0;0;0;0;0;0;0;0
Total;808;963;929;1030;952;1064;965;6711
