Pays,Cas,Population,Mortalité,Couleur,TCas,TMortalité
Australie,27807,25499881,907,#1c819a,109.04756771218,35.568793438683
Belgique,555350,11589616,15384,#1c819a,4791.7894777532,1327.3951440669
France,2127051,65273512,48518,#1c819a,3258.6740544924,743.30304151552
Allemagne,918269,83783945,14022,#1c819a,1095.9963749618,167.35903280754
Italie,1380531,60461828,49261,#1c819a,2283.3100580419,814.7454622113
Pays-Bas,478678,17134873,8858,#1c819a,2793.5894243278,516.95743528417
Nouvelle-Zélande,1672,4822233,25,#1c819a,34.672733565549,5.1843202101599
Portugal,255970,10196707,3824,#1c819a,2510.3202435845,375.02303439728
Espagne,1556730,46754783,42619,#1c819a,3329.5630951811,911.54310351521
Suède,208295,10099270,6406,#1c819a,2062.4758027065,634.30327142457
Suisse,289483,8654618,3567,#1c819a,3344.8385590213,412.14990655856
Royaume-Uni,1493383,67886004,54626,#1c819a,2199.8393070831,804.67249184383
États-Unis,12089438,331002647,255899,#1c819a,3652.3689793937,773.10257884433
