,Cas,,,,,,,,,Rétablissements,,,Décès,,,,,,,,,Hospitalisations incidentes,,,,,,,,,,,,,,,,,
Groupe d'âge,Cas F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Cas H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Cas total CUMUL,Taux pour 100 000 CUMUL,Rétablis F CUMUL,Rétablis H CUMUL,Rétablis T CUMUL,Décès F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Décès H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Décès total CUMUL,Taux pour 100 000 CUMUL,Hospit totales INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit totales INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit totales INC T CUMUL,Taux pour 100 000 CUMUL,Hospit SI INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit SI INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit SI INC T CUMUL,Taux pour 100 000 CUMUL
0-9 ans,1243,48.8,284.58,1304,51.2,285.22,2,2549,285.13,1117,1169,2288,0,          . ,0.00,0,          . ,0.00,0,0,0.00,15,32.6,3.43,31,67.4,6.78,0,46,5.15,3,37.5,0.69,5,62.5,1.09,0,8,0.89
10-19 ans,2385,52.5,553.83,2154,47.5,481.12,2,4541,516.99,2005,1796,3803,0,0.0,0.00,1,100.0,0.22,0,1,0.11,15,50.0,3.48,15,50.0,3.35,0,30,3.42,3,60.0,0.70,2,40.0,0.45,0,5,0.57
20-29 ans,6004,55.5,1179.63,4821,44.5,880.93,29,10854,1027.61,5462,4332,9820,1,33.3,0.20,2,66.7,0.37,0,3,0.28,94,68.1,18.47,44,31.9,8.04,0,138,13.07,14,51.9,2.75,13,48.1,2.38,0,27,2.56
30-39 ans,5196,56.5,949.61,3996,43.5,702.61,22,9214,825.70,4882,3732,8636,4,66.7,0.73,2,33.3,0.35,0,6,0.54,152,60.1,27.78,101,39.9,17.76,0,253,22.67,21,39.6,3.84,32,60.4,5.63,0,53,4.75
40-49 ans,5888,57.6,1086.68,4329,42.4,774.42,18,10235,929.75,5574,4045,9637,6,30.0,1.11,14,70.0,2.50,0,20,1.82,162,39.9,29.90,244,60.1,43.65,0,406,36.88,35,33.7,6.46,69,66.3,12.34,0,104,9.45
50-59 ans,5254,54.9,895.04,4317,45.1,725.50,7,9578,810.29,4959,4019,8985,47,43.1,8.01,62,56.9,10.42,0,109,9.22,285,40.3,48.55,423,59.7,71.09,0,708,59.90,65,32.5,11.07,135,67.5,22.69,0,200,16.92
60-69 ans,2901,49.9,500.86,2909,50.1,511.73,4,5814,506.59,2637,2545,5186,135,38.6,23.31,215,61.4,37.82,0,350,30.50,373,40.9,64.40,538,59.1,94.64,0,911,79.38,82,33.1,14.16,166,66.9,29.20,0,248,21.61
70-79 ans,2514,51.2,640.36,2392,48.8,662.41,0,4906,650.92,1945,1699,3644,455,43.5,115.90,590,56.5,163.39,0,1045,138.65,634,46.2,161.49,739,53.8,204.65,0,1373,182.17,116,41.3,29.55,165,58.7,45.69,0,281,37.28
80-89 ans,4538,64.4,2396.27,2504,35.6,1810.60,2,7044,2149.69,3149,1293,4443,1205,51.8,636.29,1123,48.2,812.02,1,2329,710.77,1067,58.0,563.42,774,42.0,559.67,0,1841,561.84,66,49.3,34.85,68,50.7,49.17,0,134,40.89
90 ans et plus,3723,76.6,6391.86,1138,23.4,4659.35,2,4863,5882.42,2323,512,2836,1337,68.7,2295.44,610,31.3,2497.54,0,1947,2355.15,642,68.4,1102.22,296,31.6,1211.92,0,938,1134.63,9,50.0,15.45,9,50.0,36.85,0,18,21.77
Inconnu,38,54.3,         .  ,32,45.7,         .  ,2,72,         .  ,347,316,665,0,          . ,         .  ,0,          . ,         .  ,0,0,         .  ,0,          . ,         .  ,0,          . ,         .  ,0,0,         .  ,0,          . ,         .  ,0,          . ,         .  ,0,0,         .  
Total,39684,57.0,928.97,29896,43.0,700.59,90,69670,815.90,34400,25458,59943,3190,54.9,74.68,2619,45.1,61.37,1,5810,68.04,3439,51.8,80.50,3205,48.2,75.11,0,6644,77.81,414,38.4,9.69,664,61.6,15.56,0,1078,12.62
Taux standardisés,           .,          . ,894.35,           .,          . ,717.03,           .,           .,809.89,           .,           .,           .,           .,          . ,55.97,           .,          . ,70.12,           .,           .,62.13,           .,          . ,68.53,           .,          . ,79.36,           .,           .,73.67,           .,          . ,8.99,           .,          . ,15.59,           .,           .,12.20
