,Cas,,,,,,,,,Rétablissements,,,Décès,,,,,,,,,Hospitalisations incidentes,,,,,,,,,,,,,,,,,,,,,,,,,,
Groupe d'âge,Cas F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Cas H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Cas total CUMUL,Taux pour 100 000 CUMUL,Rétablis F CUMUL,Rétablis H CUMUL,Rétablis T CUMUL,Décès F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Décès H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Décès total CUMUL,Taux pour 100 000 CUMUL,Hospit totales INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit totales INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit totales INC T CUMUL,Taux pour 100 000 CUMUL,Hospit SI INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit SI INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit SI INC T CUMUL,Taux pour 100 000 CUMUL,Hospit hors SI INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit hors SI INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit hors SI INC T CUMUL,Taux pour 100 000 CUMUL
0-9 ans,3231,47.5,739.72,3573,52.5,781.51,2,6806,761.32,2794,3120,5916,0,          . ,0.00,0,          . ,0.00,0,0,0.00,30,39.0,6.87,47,61.0,10.28,0,77,8.61,3,27.3,0.69,8,72.7,1.75,0,11,1.23,27,40.9,6.18,39,59.1,8.53,0,66,7.38
10-19 ans,6882,50.8,1598.09,6657,49.2,1486.90,3,13542,1541.75,6094,5903,12000,0,0.0,0.00,1,100.0,0.22,0,1,0.11,31,53.4,7.20,27,46.6,6.03,0,58,6.60,3,37.5,0.70,5,62.5,1.12,0,8,0.91,28,56.0,6.50,22,44.0,4.91,0,50,5.69
20-29 ans,10997,54.1,2160.63,9327,45.9,1704.29,35,20359,1927.50,10312,8670,19015,1,33.3,0.20,2,66.7,0.37,0,3,0.28,153,66.2,30.06,78,33.8,14.25,0,231,21.87,18,47.4,3.54,20,52.6,3.65,0,38,3.60,135,69.9,26.52,58,30.1,10.60,0,193,18.27
30-39 ans,9844,55.6,1799.07,7852,44.4,1380.61,24,17720,1587.95,9017,7216,16257,5,71.4,0.91,2,28.6,0.35,0,7,0.63,232,58.7,42.40,163,41.3,28.66,0,395,35.40,26,33.3,4.75,52,66.7,9.14,0,78,6.99,206,65.0,37.65,111,35.0,19.52,0,317,28.41
40-49 ans,10662,55.8,1967.76,8450,44.2,1511.63,23,19135,1738.23,9846,7775,17642,11,42.3,2.03,15,57.7,2.68,0,26,2.36,240,39.1,44.29,374,60.9,66.91,0,614,55.78,50,31.4,9.23,109,68.6,19.50,0,159,14.44,190,41.8,35.07,265,58.2,47.41,0,455,41.33
50-59 ans,9088,52.8,1548.17,8115,47.2,1363.78,11,17214,1456.28,8281,7390,15681,57,46.0,9.71,67,54.0,11.26,0,124,10.49,467,40.3,79.56,692,59.7,116.30,0,1159,98.05,101,32.7,17.21,208,67.3,34.96,0,309,26.14,366,43.1,62.35,484,56.9,81.34,0,850,71.91
60-69 ans,5224,48.7,901.92,5499,51.3,967.34,4,10727,934.67,4601,4742,9347,155,38.9,26.76,243,61.1,42.75,0,398,34.68,647,40.8,111.70,940,59.2,165.36,0,1587,138.28,149,33.3,25.72,298,66.7,52.42,0,447,38.95,498,43.7,85.98,642,56.3,112.94,0,1140,99.33
70-79 ans,4058,51.0,1033.64,3905,49.0,1081.39,1,7964,1056.65,3103,2838,5942,552,43.9,140.60,705,56.1,195.23,0,1257,166.78,1074,45.7,273.57,1278,54.3,353.91,0,2352,312.06,193,37.1,49.16,327,62.9,90.55,0,520,68.99,881,48.1,224.41,951,51.9,263.36,0,1832,243.07
80-89 ans,6197,63.3,3272.29,3590,36.7,2595.86,2,9789,2987.41,4006,1772,5779,1383,51.3,730.29,1311,48.7,947.96,1,2695,822.46,1565,54.1,826.39,1326,45.9,958.81,0,2891,882.28,117,47.0,61.78,132,53.0,95.45,0,249,75.99,1448,54.8,764.61,1194,45.2,863.36,0,2642,806.29
