Tuiles de l'accueil,,,,,,
cas,deces,hospit,soins,gueris,analyses,date
57 300,5 654, 248, 15,50 027,14 488,17 juillet 2020
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Graphique 5 et 6: Carte et tableaux des régions,,,,,,
Key,State,Cas,Population,Taux,,
1,Bas St-Laurent,63,197074,31.96768726,,
2,Saguenay Lac St-Jean,352,277632,126.7865376,,
3,Capitale-Nationale,1906,755459,252.2969479,,
4,Mauricie et Centre-du-Québec,2068,522341,395.9099515,,
5,Estrie,989,493163,200.5422142,,
6,Montréal,27950,2065657,1353.0804,,
7,Outaouais,632,401032,157.593409,,
8,Abitibi-Témiscamingue,172,147616,116.5185346,,
9,Côte-Nord,124,90033,137.7272778,,
10,Nord du Québec,8,13558,59.00575306,,
11,Gaspésie Îles de la Madeleine,193,89998,214.44921,,
12,Chaudière-Appalaches,529,430309,122.9349142,,
13,Laval,5899,442745,1332.369648,,
14,Lanaudière,4355,520092,837.3518531,,
15,Laurentides,3665,626968,584.5593396,,
16,Montérégie,8343,1432751,582.3063463,,
17,Nunavik,17,14260,119.2145863,,
18,Terres-Cries-de-la-Baie-James,10,18385,54.39216753,,
Graphique 7: Répartitions des cas confirmés (Âge),,,,,,
Groupe d'âge,Proportion de cas confirmés,,,,,
0-9 ans,1783,,,,,
10-19 ans,2829,,,,,
20-29 ans,7582,,,,,
30-39 ans,7384,,,,,
40-49 ans,8594,,,,,
50-59 ans,8266,,,,,
60-69 ans,5077,,,,,
70-79 ans,4389,,,,,
80-89 ans,6656,,,,,
90 ans et plus,4666,,,,,
Graphique 7: Répartition des cas confirmés (Sexe),,,,,,
Sexe,Répartition de cas,Couleur,,,,
Hommes,41.5,"rgb(155,207, 229)",,,,
Femmes,58.5,"rgb(255,178,196)",,,,
Graphique 8: Répartition des décès (Âge),,,,,,
Groupe d'âge,Nombre de décès,,,,,
0-9 ans,0,,,,,
10-19 ans,0,,,,,
20-29 ans,3,,,,,
30-39 ans,6,,,,,
40-49 ans,20,,,,,
50-59 ans,102,,,,,
60-69 ans,341,,,,,
70-79 ans,1015,,,,,
80-89 ans,2267,,,,,
90 ans et plus,1900,,,,,
Graphique 8: Répartition des décès (Sexe),,,,,,
Sexe,Répartition de décès,Couleur,,,,
Hommes,45.0,"rgb(155,207, 229)",,,,
Femmes,55.0,"rgb(255,178,196)",,,,
,,,,,,
,,,,,,
Graphique 9: Cas confirmés selon la province,,,,,,
Province,Taux,Couleur,Nombre de cas,,,
Colombie-Britannique,62.57194159,"rgb(28,129,154)",3198,,,
Alberta,208.8985952,"rgb(28,129,154)",9219,,,
Saskatchewan,79.21019984,"rgb(28,129,154)",936,,,
Manitoba,24.3917135,"rgb(28,129,154)",336,,,
Ontario,253.3607825,"rgb(28,129,154)",37274,,,
Québec,671.0330267,"rgb(239,117,22)",57300,,,
Terre-Neuve et Labrador,50.25270204,"rgb(28,129,154)",262,,,
Nouveau-Brunswick,21.53865483,"rgb(28,129,154)",168,,,
Nouvelle-Écosse,109.1608122,"rgb(28,129,154)",1067,,,
Île-du-Prince-Édouard,22.76204808,"rgb(28,129,154)",36,,,
Canada,289.8207746,"rgb(179,30,58)",109827,,,
,,,,,,
,,,,,,
Graphique 10 - Tests réalisés selon la province,,,,,,
Province,Taux,Couleur,Nombre de tests,,,
Colombie-Britannique,3808.044623,"rgb(28,129,154)",194626,,,
Alberta,11008.51864,"rgb(28,129,154)",485822,,,
Saskatchewan,5822.795951,"rgb(28,129,154)",68806,,,
Manitoba,5251.042274,"rgb(28,129,154)",72334,,,
Ontario,11903.95999,"rgb(28,129,154)",1751290,,,
Québec,8549.054447,"rgb(239,117,22)",730010,,,
Terre-Neuve et Labrador,4132.613428,"rgb(28,129,154)",21546,,,
Nouveau-Brunswick,5450.305323,"rgb(28,129,154)",42512,,,
Nouvelle-Écosse,6163.954015,"rgb(28,129,154)",60250,,,
Île-du-Prince-Édouard,10488.87821,"rgb(28,129,154)",16589,,,
Canada,9101.837432,"rgb(179,30,58)",3449123,,,
,,,,,,
,,,,,,
Graphique 11 - Cas confirmés par pays,,,,,,
Pays,Taux,Couleur,Nombre de cas,,,
Québec,671.0330267,"rgb(239,117,22)",57300,,,
Canada,289.8207746,"rgb(179,30,58)",109827,,,
États-Unis,1139.896913,"rgb(28,129,154)",3773089,,,
Italie,403.5058419,"rgb(28,129,154)",243967,,,
France,267.6031936,"rgb(28,129,154)",174674,,,
Espagne,657.3338879,"rgb(28,129,154)",307335,,,
Allemagne,241.5928341,"rgb(28,129,154)",202416,,,
Chine,5.811340116,"rgb(28,129,154)",83644,,,
Royaume-Uni,433.176137,"rgb(28,129,154)",294066,,,
Suisse,386.9839723,"rgb(28,129,154)",33492,,,
Portugal,474.5648817,"rgb(28,129,154)",48390,,,
,,,,,,
,,,,,,
Graphique 12 - Décès par pays,,,,,,
Pays,Taux,Couleur,Nombre de morts,,,
Québec,662.1327631,"rgb(239,117,22)",5654,,,
Canada,233.4357282,"rgb(179,30,58)",8846,,,
