Arrondissement ou ville liée;Nombre de cas confirmés;Répartition des cas (%);Taux de cas pour 100 000 personnes;Nombre de décès;Taux de mortalité pour 100 000 personnes
Ahuntsic–Cartierville;2477;8,5;1845,1;360;268,2
Anjou;733;2,5;1712,8;51;119,2
Baie D'urfé;31;0,1;*810,9;< 5;n.p.
Beaconsfield;62;0,2;320,8;9;n.p.
Côte-des-Neiges–Notre-Dame-de-Grâce;2363;8,2;1419;258;154,9
Côte-Saint-Luc;544;1,9;1676,5;62;191,1
Dollard-des-Ormeaux;448;1,5;916,2;82;167,7
Dorval;205;0,7;1080,1;50;263,4
Hampstead;59;0,2;846,1;< 5;n.p.
Kirkland;133;0,5;660;23;*114,1
Lachine;701;2,4;1575,7;100;224,8
LaSalle;1295;4,5;1685;183;238,1
L'Île-Bizard–Sainte-Geneviève;224;0,8;1216,5;46;249,8
Mercier–Hochelaga-Maisonneuve;2477;8,5;1821;372;273,5
Montréal Est;48;0,2;1246,8;5;n.p.
Montréal-Nord;2650;9,1;3146;247;293,2
Montréal-Ouest;29;0,1;*574,3;< 5;n.p.
Mont-Royal;289;1;1425,3;75;369,9
Outremont;279;1;1164,7;11;*45,9
Pierrefonds–Roxboro;583;2;841,3;39;56,3
Plateau Mont-Royal;1073;3,7;1031,7;139;133,7
Pointe-Claire;242;0,8;771,2;41;130,7
Rivière-des-Prairies–Pointe-aux-Trembles;2241;7,7;2099,4;241;225,8
Rosemont–La Petite Patrie;1760;6,1;1260,8;239;171,2
Sainte-Anne-de-Bellevue;18;0,1;*363;< 5;n.p.
Saint-Laurent;1157;4;1170,7;120;121,4
Saint-Léonard;1184;4,1;1512;62;79,2
Senneville;< 5;0;n.p.;0;
Sud-Ouest;1041;3,6;1332;182;232,9
Verdun;1024;3,5;1479,1;159;229,7
Ville-Marie;1057;3,6;1185,4;87;97,6
Villeray–Saint-Michel–Parc-Extension;2355;8,1;1637,1;132;91,8
Westmount;197;0,7;969,9;36;*177,2
Territoire à confirmer;641;;;44;
Total à Montréal;29622;;1434;3466;167,8
