Arrondissement ou ville liée;Nombre de cas confirmés;Répartition des cas (%);Taux de cas pour 100 000 personnes;Nombre de décès;Taux de mortalité pour 100 000 personnes
Ahuntsic–Cartierville;2500;8,5;1862,3;360;268,2
Anjou;740;2,5;1729,1;51;119,2
Baie D'urfé;31;0,1;*810,9;< 5;n.p.
Beaconsfield;62;0,2;320,8;9;n.p.
Côte-des-Neiges–Notre-Dame-de-Grâce;2384;8,2;1431,7;259;155,5
Côte-Saint-Luc;548;1,9;1688,9;64;197,2
Dollard-des-Ormeaux;451;1,5;922,3;83;169,7
Dorval;204;0,7;1074,8;50;263,4
Hampstead;61;0,2;874,8;< 5;n.p.
Kirkland;138;0,5;684,8;23;*114,1
Lachine;703;2,4;1580,2;100;224,8
LaSalle;1303;4,5;1695,4;183;238,1
L'Île-Bizard–Sainte-Geneviève;222;0,8;1205,7;46;249,8
Mercier–Hochelaga-Maisonneuve;2493;8,5;1832,8;373;274,2
Montréal Est;49;0,2;1272,7;5;n.p.
Montréal-Nord;2661;9,1;3159,1;247;293,2
Montréal-Ouest;32;0,1;*633,7;< 5;n.p.
Mont-Royal;292;1;1440,1;75;369,9
Outremont;283;1;1181,4;11;*45,9
Pierrefonds–Roxboro;585;2;844,2;39;56,3
Plateau Mont-Royal;1092;3,7;1050;139;133,7
Pointe-Claire;244;0,8;777,6;41;130,7
Rivière-des-Prairies–Pointe-aux-Trembles;2251;7,7;2108,8;242;226,7
Rosemont–La Petite Patrie;1775;6,1;1271,6;239;171,2
Sainte-Anne-de-Bellevue;18;0,1;*363;< 5;n.p.
Saint-Laurent;1174;4;1187,9;120;121,4
Saint-Léonard;1207;4,1;1541,4;62;79,2
Senneville;< 5;0;n.p.;0;
Sud-Ouest;1051;3,6;1344,8;182;232,9
Verdun;1033;3,5;1492,1;159;229,7
Ville-Marie;1083;3,7;1214,5;87;97,6
Villeray–Saint-Michel–Parc-Extension;2370;8,1;1647,5;132;91,8
Westmount;198;0,7;974,8;36;*177,2
Territoire à confirmer;655;;;44;
Total à Montréal;29895;;1447,2;3472;168,1
