Date;Nouveaux cas;Cumulatif;
2020-02-25;1;1;
2020-02-26;0;1;
2020-02-27;0;1;
2020-02-28;0;1;
2020-02-29;0;1;
2020-03-01;1;2;
2020-03-02;2;4;
2020-03-03;0;4;
2020-03-04;0;4;
2020-03-05;0;4;
2020-03-06;0;4;
2020-03-07;0;4;
2020-03-08;1;5;
2020-03-09;1;6;
2020-03-10;2;8;
2020-03-11;3;11;
2020-03-12;3;14;
2020-03-13;2;16;
2020-03-14;4;20;
2020-03-15;6;26;
2020-03-16;4;30;
2020-03-17;7;37;
2020-03-18;6;43;
2020-03-19;35;78;
2020-03-20;49;127;
2020-03-21;92;219;
2020-03-22;88;307;
2020-03-23;134;441;
2020-03-24;145;586;
2020-03-25;188;774;
2020-03-26;181;955;
2020-03-27;243;1198;
2020-03-28;201;1399;
2020-03-29;262;1661;
2020-03-30;266;1927;
2020-03-31;330;2257;
2020-04-01;305;2562;
2020-04-02;410;2972;
2020-04-03;351;3323;
2020-04-04;340;3663;
2020-04-05;261;3924;
2020-04-06;457;4381;
2020-04-07;421;4802;
2020-04-08;377;5179;
2020-04-09;352;5531;
2020-04-10;307;5838;
2020-04-11;256;6094;
2020-04-12;331;6425;
2020-04-13;542;6967;
2020-04-14;469;7436;
2020-04-15;619;8055;
2020-04-16;497;8552;
2020-04-17;571;9123;
2020-04-18;330;9453;
2020-04-19;428;9881;
2020-04-20;484;10365;
2020-04-21;460;10825;
2020-04-22;534;11359;
2020-04-23;525;11884;
2020-04-24;495;12379;
2020-04-25;311;12690;
2020-04-26;283;12973;
2020-04-27;462;13435;
2020-04-28;472;13907;
2020-04-29;521;14428;
2020-04-30;592;15020;
2020-05-01;615;15635;
2020-05-02;523;16158;
2020-05-03;346;16504;
2020-05-04;418;16922;
2020-05-05;470;17392;
2020-05-06;569;17961;
2020-05-07;426;18387;
2020-05-08;434;18821;
2020-05-09;312;19133;
2020-05-10;301;19434;
2020-05-11;366;19800;
2020-05-12;432;20232;
2020-05-13;396;20628;
2020-05-14;352;20980;
2020-05-15;346;21326;
2020-05-16;268;21594;
2020-05-17;342;21936;
2020-05-18;334;22270;
2020-05-19;319;22589;
2020-05-20;411;23000;
2020-05-21;383;23383;
2020-05-22;257;23640;
2020-05-23;215;23855;
2020-05-24;216;24071;
2020-05-25;206;24277;
2020-05-26;246;24523;
2020-05-27;256;24779;
2020-05-28;193;24972;
2020-05-29;196;25168;
2020-05-30;207;25375;
2020-05-31;140;25515;
2020-06-01;157;25672;
2020-06-02;100;25772;
2020-06-03;115;25887;
2020-06-04;124;26011;
2020-06-05;115;26126;
2020-06-06;105;26231;
2020-06-07;74;26305;
2020-06-08;50;26355;
2020-06-09;78;26433;
2020-06-10;68;26501;
2020-06-11;67;26568;
2020-06-12;72;26640;
2020-06-13;65;26705;
2020-06-14;28;26733;
2020-06-15;55;26788;
2020-06-16;72;26860;
2020-06-17;51;26911;
2020-06-18;51;26962;
2020-06-19;61;27023;
2020-06-20;31;27054;
2020-06-21;24;27078;
2020-06-22;40;27118;
2020-06-23;39;27157;
2020-06-24;30;27187;
2020-06-25;46;27233;
2020-06-26;42;27275;
2020-06-27;32;27307;
2020-06-28;18;27325;
2020-06-29;16;27341;
2020-06-30;39;27380;
2020-07-01;23;27403;
2020-07-02;16;27419;
2020-07-03;16;27435;
2020-07-04;14;27449;
2020-07-05;8;27457;
2020-07-06;15;27472;
2020-07-07;20;27492;
2020-07-08;33;27525;
2020-07-09;51;27576;
2020-07-10;49;27625;
2020-07-11;22;27647;
2020-07-12;13;27660;
2020-07-13;75;27735;
2020-07-14;65;27800;
2020-07-15;68;27868;
2020-07-16;63;27931;
2020-07-17;99;28030;
2020-07-18;101;28131;
2020-07-19;55;28186;
2020-07-20;37;28223;
2020-07-21;65;28288;
2020-07-22;76;28364;
2020-07-23;92;28456;
2020-07-24;68;28524;
2020-07-25;35;28559;
2020-07-26;50;28609;
2020-07-27;34;28643;
2020-07-28;37;28680;
2020-07-29;71;28751;
2020-07-30;62;28813;
2020-07-31;58;28871;
2020-08-01;52;28923;
2020-08-02;30;28953;
2020-08-03;43;28996;
2020-08-04;65;29061;
2020-08-05;47;29108;
2020-08-06;22;29130;
2020-08-07;47;29177;
2020-08-08;35;29212;
2020-08-09;37;29249;
2020-08-10;35;29284;
2020-08-11;37;29321;
2020-08-12;36;29357;
2020-08-13;38;29395;
2020-08-14;33;29428;
2020-08-15;14;29442;
2020-08-16;13;29455;
2020-08-17;17;29472;
2020-08-18;18;29490;
2020-08-19;21;29511;
2020-08-20;35;29546;
2020-08-21;34;29580;
2020-08-22;22;29602;
2020-08-23;22;29624;
2020-08-24;10;29634;
2020-08-25;30;29664;
2020-08-26;42;29706;
2020-08-27;39;29745;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
