Régions sociosanitaires;13 septembre;14 septembre;15 septembre;16 septembre;17 septembre;Total des cas confirmés depuis le début de la pandémie
01 - Bas-Saint-Laurent;23;17;13;10;12;234
02 - Saguenay – Lac-Saint-Jean;0;0;1;0;1;384
03 - Capitale-Nationale;60;62;53;52;86;2 817
04 - Mauricie-et-Centre-du-Québec;3;5;17;8;8;2 227
05 - Estrie;9;9;28;9;13;1 522
06 - Montréal;135;160;97;73;58;31 021
07 - Outaouais;20;16;25;18;9;1 066
08 - Abitibi-Témiscamingue;-1;0;0;0;1;191
09 - Côte-Nord;3;0;0;0;4;144
10 - Nord-du-Québec;0;1;0;-1;0;8
11 - Gaspésie – Îles-de-la-Madeleine;0;1;1;1;4;227
12 - Chaudière-Appalaches;32;16;16;20;21;852
13 - Laval;18;24;18;18;18;6 603
14 - Lanaudière;27;17;6;6;6;5 016
15 - Laurentides;10;7;13;14;7;4 427
16 - Montérégie;31;46;15;23;49;9 848
17 - Nunavik;0;0;0;0;0;18
18 - Terres-Cries-de-la-Baie-James;0;1;0;0;0;12
Hors Québec;2;0;0;0;0;34
Région à déterminer;0;0;0;0;0;2
Total;376;382;303;251;297;66 653
