Régions sociosanitaires;20 septembre;21 septembre;22 septembre;23 septembre;Total des cas confirmés depuis le début de la pandémie
01 - Bas-Saint-Laurent;11;9;7;7;288
02 - Saguenay – Lac-Saint-Jean;4;6;0;2;401
03 - Capitale-Nationale;92;92;95;103;3 351
04 - Mauricie-et-Centre-du-Québec;5;14;11;10;2 294
05 - Estrie;14;16;13;25;1 641
06 - Montréal;219;142;146;247;32 063
07 - Outaouais;31;11;17;36;1 210
08 - Abitibi-Témiscamingue;0;0;0;1;192
09 - Côte-Nord;1;0;1;0;148
10 - Nord-du-Québec;0;0;0;0;8
11 - Gaspésie – Îles-de-la-Madeleine;8;4;13;15;275
12 - Chaudière-Appalaches;50;46;33;24;1 060
13 - Laval;20;50;21;29;6 788
14 - Lanaudière;15;10;18;9;5 103
15 - Laurentides;39;25;26;20;4 577
16 - Montérégie;76;62;69;53;10 198
17 - Nunavik;0;0;1;0;19
18 - Terres-Cries-de-la-Baie-James;0;0;0;0;13
Hors Québec;1;2;0;1;39
Région à déterminer;0;0;0;0;2
Total;586;489;471;582;69 670
