Régions sociosanitaires;27 septembre;28 septembre;29 septembre;Total des cas confirmés depuis le début de la pandémie
01 - Bas-Saint-Laurent;5;6;2;330
02 - Saguenay – Lac-Saint-Jean;7;10;6;433
03 - Capitale-Nationale;125;169;134;4 137
04 - Mauricie-et-Centre-du-Québec;23;40;12;2 432
05 - Estrie;28;23;8;1 770
06 - Montréal;245;234;318;33 736
07 - Outaouais;27;36;27;1 355
08 - Abitibi-Témiscamingue;2;1;2;200
09 - Côte-Nord;0;0;1;151
10 - Nord-du-Québec;0;0;0;8
11 - Gaspésie – Îles-de-la-Madeleine;15;21;9;366
12 - Chaudière-Appalaches;41;25;57;1 323
13 - Laval;73;64;78;7 160
14 - Lanaudière;40;24;40;5 275
15 - Laurentides;37;25;47;4 775
16 - Montérégie;81;121;97;10 762
17 - Nunavik;0;0;0;19
18 - Terres-Cries-de-la-Baie-James;0;0;0;13
Hors Québec;1;0;0;41
Région à déterminer;0;0;0;2
Total;750;799;838;74 288
