Régions sociosanitaires;4 octobre;5 octobre;6 octobre;7 octobre;Total des cas confirmés depuis le début de la pandémie
01 - Bas-Saint-Laurent;3;7;7;4;380
02 - Saguenay – Lac-Saint-Jean;20;9;17;23;527
03 - Capitale-Nationale;265;201;132;199;5 591
04 - Mauricie-et-Centre-du-Québec;57;27;39;60;2 789
05 - Estrie;25;6;23;25;1 950
06 - Montréal;329;442;269;290;36 497
07 - Outaouais;29;66;49;32;1 661
08 - Abitibi-Témiscamingue;-1;4;0;4;217
09 - Côte-Nord;2;0;1;1;159
10 - Nord-du-Québec;-1;0;1;0;9
11 - Gaspésie – Îles-de-la-Madeleine;9;27;21;20;518
12 - Chaudière-Appalaches;68;88;73;64;1 873
13 - Laval;173;98;64;87;7 930
14 - Lanaudière;36;88;43;30;5 641
15 - Laurentides;57;74;49;70;5 261
16 - Montérégie;119;223;111;169;11 904
17 - Nunavik;0;0;1;0;22
18 - Terres-Cries-de-la-Baie-James;1;0;0;0;14
Hors Québec;0;4;0;0;47
Région à déterminer;0;0;0;0;2
Total;1 191;1 364;900;1 078;82 992
