Régions sociosanitaires;15 novembre;16 novembre;Total des cas confirmés depuis le début de la pandémie
01 - Bas-Saint-Laurent;4;4;613
02 - Saguenay – Lac-Saint-Jean;187;101;3 199
03 - Capitale-Nationale;75;49;10 161
04 - Mauricie-et-Centre-du-Québec;37;37;5 933
05 - Estrie;53;84;3 732
06 - Montréal;285;267;47 135
07 - Outaouais;58;39;3 101
08 - Abitibi-Témiscamingue;1;0;257
09 - Côte-Nord;2;4;185
10 - Nord-du-Québec;2;6;41
11 - Gaspésie – Îles-de-la-Madeleine;14;14;1 249
12 - Chaudière-Appalaches;57;44;4 645
13 - Laval;87;46;10 428
14 - Lanaudière;140;132;9 787
15 - Laurentides;73;20;7 388
16 - Montérégie;140;136;18 076
17 - Nunavik;0;0;29
18 - Terres-Cries-de-la-Baie-James;0;-1;16
Hors Québec;3;0;76
Région à déterminer;0;0;3
Total;1 218;982;126 054
