Régions sociosanitaires;15 novembre;16 novembre;17 novembre;18 novembre;19 novembre;20 novembre;Total des cas confirmés depuis le début de la pandémie
01 - Bas-Saint-Laurent;4;4;13;12;19;15;672
02 - Saguenay – Lac-Saint-Jean;187;101;167;241;213;161;3 981
03 - Capitale-Nationale;75;49;84;121;138;119;10 623
04 - Mauricie-et-Centre-du-Québec;37;37;85;87;59;84;6 248
05 - Estrie;53;84;43;66;69;79;3 989
06 - Montréal;285;267;280;200;294;256;48 165
07 - Outaouais;58;39;60;22;32;25;3 240
08 - Abitibi-Témiscamingue;1;0;1;0;0;0;258
09 - Côte-Nord;2;4;0;0;7;3;195
10 - Nord-du-Québec;2;6;2;4;5;0;52
11 - Gaspésie – Îles-de-la-Madeleine;14;14;13;11;12;21;1 306
12 - Chaudière-Appalaches;57;44;65;60;42;54;4 866
13 - Laval;87;46;62;90;68;80;10 728
14 - Lanaudière;140;132;117;118;105;115;10 242
15 - Laurentides;73;20;52;35;37;49;7 561
16 - Montérégie;140;136;133;141;159;127;18 636
17 - Nunavik;0;0;1;-1;0;0;29
18 - Terres-Cries-de-la-Baie-James;0;-1;0;0;0;0;16
Hors Québec;3;0;1;0;0;1;78
Région à déterminer;0;0;0;0;0;0;3
Total;1 218;982;1 179;1 207;1 259;1 189;130 888
