,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2020,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000
01,01 - Bas-Saint-Laurent,601,6,589,12,13,2,486,102,197074,304.96,51.76,6.60
02,02 - Saguenay–Lac-Saint-Jean,2798,108,2682,116,75,1,1606,1117,277632,1007.81,402.33,27.01
03,03 - Capitale-Nationale,9934,122,9695,239,378,6,8602,954,755459,1314.96,126.28,50.04
04,04 - Mauricie et Centre-du-Québec,5775,101,5584,191,238,1,4532,1005,522341,1105.60,192.40,45.56
05,05 - Estrie,3513,76,3227,286,52,0,2827,634,493163,712.34,128.56,10.54
06,06 - Montréal,46270,341,43521,2749,3568,2,39745,2957,2065657,2239.97,143.15,172.73
07,07 - Outaouais,2963,62,2705,258,64,1,2568,331,401032,738.84,82.54,15.96
08,08 - Abitibi-Témiscamingue,256,0,224,32,4,0,245,7,147616,173.42,4.74,2.71
09,09 - Côte-Nord,178,1,166,12,2,0,169,7,90033,197.71,7.77,2.22
10,10 - Nord-du-Québec,32,1,30,2,0,0,16,16,13558,236.02,118.01,0.00
11,11 - Gaspésie–Îles-de-la-Madeleine,1207,23,1191,16,32,2,978,197,89998,1341.14,218.89,35.56
12,12 - Chaudière-Appalaches,4506,125,4271,235,96,1,3786,624,430309,1047.15,145.01,22.31
13,13 - Laval,10207,79,9035,1172,716,0,8872,619,442745,2305.39,139.81,161.72
14,14 - Lanaudière,9412,183,8717,695,265,5,7621,1526,520092,1809.68,293.41,50.95
15,15 - Laurentides,7239,83,6646,593,320,1,6316,603,626968,1154.60,96.18,51.04
16,16 - Montérégie,17631,138,16494,1137,787,3,15182,1662,1432751,1230.57,116.00,54.93
17,17 - Nunavik,29,1,27,2,0,0,29,0,14260,203.37,0.00,0.00
18,18 - Terres-Cries-de-la-Baie-James,16,-1,16,0,1,0,14,1,18385,87.03,5.44,5.44
98,Inconnu,3,0,3,0,0,0,3,0,           .,         .  ,         .  ,         .  
99,Hors Québec,73,-1,71,2,0,0,71,2,           .,         .  ,         .  ,         .  
999,Ensemble du Québec,122643,1448,114894,7749,6611,25,103668,12364,8539073,1436.26,144.79,77.42
